column,london_dtype,london_null_pct,london_cardinality,london_num_min,london_num_max,london_num_mean,amsterdam_dtype,amsterdam_null_pct,amsterdam_cardinality,amsterdam_num_min,amsterdam_num_max,amsterdam_num_mean,presence,null_rate_diverges,dtype_mismatch
accommodates,int64,0.0,15,1.0,16.0,2.93,int64,0.0,12,1.0,16.0,2.97,both,False,False
amenities,str,0.0,1888,-2.013201320133592e+23,2.0192013201320194e+23,5.625062649659771e+19,str,0.0,1988,-201920132019.0,2.01920130002013e+24,1.1527872085293374e+22,both,False,False
availability_30,int64,0.0,31,0.0,30.0,6.52,int64,0.0,31,0.0,30.0,3.41,both,False,False
availability_365,int64,0.0,320,0.0,365.0,126.29,int64,0.0,331,0.0,365.0,79.25,both,False,False
availability_60,int64,0.0,61,0.0,60.0,16.08,int64,0.0,61,0.0,60.0,8.92,both,False,False
availability_90,int64,0.0,91,0.0,90.0,26.89,int64,0.0,91,0.0,90.0,16.54,both,False,False
availability_eoy,int64,0.0,110,0.0,109.0,32.71,int64,0.0,113,0.0,112.0,21.58,both,False,False
bathrooms,float64,43.2,10,0.0,4.5,1.26,float64,49.8,10,0.0,5.0,1.27,both,False,False
bathrooms_text,str,1.9,18,0.0,4.5,1.26,str,0.0,19,0.0,5.0,1.29,both,False,False
bedrooms,float64,16.6,10,0.0,14.0,1.54,float64,4.0,9,0.0,10.0,1.64,both,True,False
beds,float64,42.8,10,0.0,10.0,1.78,float64,49.8,17,0.0,32.0,2.02,both,False,False
calculated_host_listings_count,int64,0.0,26,1.0,79.0,2.74,int64,0.0,11,1.0,15.0,1.31,both,False,False
calculated_host_listings_count_entire_homes,int64,0.0,27,0.0,79.0,1.63,int64,0.0,9,0.0,14.0,0.86,both,False,False
calculated_host_listings_count_private_rooms,int64,0.0,11,0.0,22.0,1.1,int64,0.0,9,0.0,15.0,0.44,both,False,False
calculated_host_listings_count_shared_rooms,int64,0.0,2,0.0,1.0,0.0,int64,0.0,2,0.0,1.0,0.0,both,False,False
calendar_last_scraped,str,0.0,5,,,,str,0.0,1,,,,both,False,False
calendar_updated,float64,100.0,0,,,,float64,100.0,0,,,,both,False,False
description,str,18.0,1622,-65461630.0,402152055103.0,4053264616.65,str,4.0,1909,-1.8100363504598685e+17,1.0285275182305256e+17,-878101553997752.2,both,True,False
estimated_occupancy_l365d,int64,0.0,70,0.0,255.0,50.04,int64,0.0,79,0.0,255.0,62.05,both,False,False
estimated_revenue_l365d,float64,42.5,674,0.0,675792.0,10520.29,float64,49.8,703,0.0,364905.0,19322.0,both,False,False
