block_size,id,host_id,neighbourhood_cleansed,name,latitude,longitude,room_type,property_type
9,1003293278858365960,491401542,Harrow,Letzi Ensuite Room | 10 Mins Wembley | Fast WiFi,51.5780184,-0.3693867,Private room,Private room in home
9,1073228391702666353,491401542,Harrow,Letzi Ensuite Room | 10 Mins Wembley | Fast WiFi,51.5780184,-0.3693867,Private room,Private room in home
9,1073520992865878119,491401542,Harrow,Letzi Ensuite Room | 10 Mins Wembley | Fast WiFi,51.5780184,-0.3693867,Private room,Private room in home
9,1073532003897509918,491401542,Harrow,Letzi Ensuite Room | 10 Mins Wembley | Fast WiFi,51.5780184,-0.3693867,Private room,Private room in home
9,1073534975857811911,491401542,Harrow,Letzi Ensuite Room | 10 Mins Wembley | Fast WiFi,51.5780184,-0.3693867,Private room,Private room in home
9,1073539126628943155,491401542,Harrow,Letzi Ensuite Room | 10 Mins Wembley | Fast WiFi,51.5780184,-0.3693867,Private room,Private room in home
9,1073542903755267466,491401542,Harrow,Letzi Ensuite Room | 10 Mins Wembley | Fast WiFi,51.5780184,-0.3693867,Private room,Private room in home
9,1073546885328491644,491401542,Harrow,Letzi Ensuite Room | 10 Mins Wembley | Fast WiFi,51.5780184,-0.3693867,Private room,Private room in home
9,1081701012480896732,491401542,Harrow,Letzi Ensuite Room | 10 Mins Wembley | Fast WiFi,51.57844882210249,-0.3685395800510582,Private room,Private room in home
6,50005011,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51424,-0.12571,Private room,Private room in rental unit
6,50464331,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51422,-0.12595,Private room,Private room in rental unit
6,50464411,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51398,-0.12572,Private room,Private room in rental unit
6,50497597,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51415,-0.12572,Private room,Private room in rental unit
6,50543872,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51422,-0.12591,Private room,Private room in rental unit
