feature,mean_abs_shap,mean_shap,parent_feature
room_type_entire_home,0.2321069187405851,-0.006665485853634429,room_type
accommodates,0.12806293812609745,0.020819088258418276,accommodates
neighbourhood_cleansed,0.11182728572129597,-0.006024030829345556,neighbourhood_cleansed
bathroom_count,0.09232520552936523,-0.014547020574223099,bathroom_count
bedrooms,0.08229977067129442,-0.006077674319257286,bedrooms
availability_365,0.07495477150440268,-0.0049471149252655845,availability_365
latitude,0.07009492808091188,-0.00832714521960881,latitude
longitude,0.05601292869914628,-0.0005557685258426645,longitude
reviews_per_month_calc,0.0416366935791394,-0.0016359062366221417,reviews_per_month_calc
room_type_private_room,0.03958450921316468,-0.0010426914449563742,room_type
bathroom_is_shared,0.03625044624568735,0.009529720070299898,bathroom_is_shared
review_scores_location,0.03530397094810075,0.002552433995787336,review_scores_location
review_scores_cleanliness,0.03150700075931001,0.00042619297717769725,review_scores_cleanliness
has_dishwasher,0.03139352054314648,-0.0029361093727106593,has_dishwasher
host_response_rate,0.02666597087350302,-0.0007817391188790855,host_response_rate
calculated_host_listings_count,0.02617966824295183,-0.00829059735440054,calculated_host_listings_count
has_air_conditioning,0.024142987248616455,-0.0036599563216265815,has_air_conditioning
has_tv,0.02238356441426007,0.00022433687864838815,has_tv
review_scores_rating,0.01955215017953908,0.0009361525733647659,review_scores_rating
instant_bookable,0.018109137928445637,-0.000734212201444184,instant_bookable
minimum_nights,0.017958215588665238,0.00026786125785816466,minimum_nights
host_tenure_years,0.01778576012680632,-0.0006110812445583927,host_tenure_years
amenity_count,0.017737308172411412,0.004162545018286695,amenity_count
number_of_reviews,0.012083720818637239,-0.001625921095538233,number_of_reviews
host_is_superhost,0.011307268241070013,-0.001129297437335046,host_is_superhost
has_elevator,0.010691466772324921,-0.0006678835558298227,has_elevator
beds,0.0064490463577954295,0.001040737174746189,beds
property_type_bucket_apartment,0.006096255126519122,0.00035194033126859163,property_type_bucket
property_type_bucket_hotel,0.005918994851314278,-0.002327226233587676,property_type_bucket
beds_per_guest,0.005290055815252006,0.00038607383189599563,beds_per_guest
property_type_bucket_house,0.004041077257430552,0.0005195962519029411,property_type_bucket
has_gym,0.003849123049502165,-6.914552446222139e-05,has_gym
has_washer,0.0033835757111066633,0.00010030579408234426,has_washer
has_pool,0.00279878905532236,8.106105589230833e-05,has_pool
has_parking,0.002748599935344437,0.00018149238020841112,has_parking
has_bathtub,0.0019533630168963173,7.536311930110094e-05,has_bathtub
has_workspace,0.0016815082135423424,8.343989985817129e-05,has_workspace
room_type_shared_room,0.0010598120057365703,0.0003938657976118767,room_type
has_wifi,0.0009668952119934185,-0.00014216682078123285,has_wifi
room_type_hotel_room,0.0006908847033409708,0.00018638791137614102,room_type
has_kitchen,0.0006776258044378453,1.4702834627887591e-05,has_kitchen
property_type_bucket_unique,0.00018886939490061667,8.352689582126805e-05,property_type_bucket
property_type_bucket_other,0.0001245775047884202,-5.211146376419875e-05,property_type_bucket
