neighbourhood_cleansed,n,mae,median_error,median_residual,pct_within_20,pct_over_pred
Westminster,1665,179.97,41.79,-6.25,44.0,53.8
City of London,92,156.42,51.8,6.04,47.8,45.7
Brent,456,129.25,22.71,-5.18,44.5,58.6
Kensington and Chelsea,784,95.02,42.24,0.57,51.1,49.6
Islington,556,85.39,25.12,2.58,52.3,47.5
Camden,837,76.07,28.65,-2.76,51.4,53.0
Hackney,639,70.03,23.01,-5.0,50.5,55.9
Hammersmith and Fulham,566,68.57,26.6,-1.07,51.6,50.9
Haringey,295,58.7,17.5,-2.18,50.2,53.9
Tower Hamlets,858,58.37,19.61,-1.77,52.9,53.4
Hounslow,195,57.13,22.06,-4.25,42.6,56.4
Lewisham,355,55.93,17.35,-1.29,53.5,51.5
Greenwich,311,52.31,22.7,-6.97,47.3,61.7
Southwark,604,51.58,21.25,-4.5,51.3,57.8
Lambeth,572,48.78,17.33,-0.73,55.6,51.2
Merton,156,48.26,18.63,1.16,53.8,46.2
Wandsworth,566,46.8,22.64,-5.82,49.8,58.3
Richmond upon Thames,182,46.5,17.75,-4.73,55.5,59.3
Enfield,143,42.54,17.19,-4.14,48.3,59.4
Ealing,300,42.07,18.59,-3.3,48.7,56.7
Barnet,323,41.35,16.52,-1.64,54.5,53.9
Kingston upon Thames,85,40.69,18.72,1.06,54.1,48.2
Newham,295,35.62,20.94,-6.39,50.5,59.0
Waltham Forest,243,34.37,14.66,0.55,53.9,48.6
Bromley,140,33.37,18.55,-2.58,45.7,52.9
Barking and Dagenham,123,32.93,13.27,-6.41,52.0,64.2
Harrow,71,30.67,11.75,-1.53,47.9,57.7
Havering,95,30.47,18.08,-3.52,53.7,64.2
Hillingdon,143,29.61,14.76,-0.62,51.7,51.0
Bexley,110,26.86,16.99,-2.98,50.9,59.1
Redbridge,134,24.95,14.55,-3.04,49.3,57.5
Croydon,212,23.24,12.59,-4.44,51.9,60.8
Sutton,57,22.54,9.65,1.05,57.9,49.1
