actual_price,predicted_price,residual,absolute_error,pct_error,room_type,neighbourhood_cleansed,property_type_bucket
132.0,149.69,-17.69,17.69,13.4,private_room,Centrum-West,house
322.0,313.28,8.72,8.72,2.71,entire_home,Centrum-West,other
162.0,205.62,-43.62,43.62,26.93,entire_home,Centrum-West,apartment
335.0,442.75,-107.75,107.75,32.16,entire_home,De Pijp - Rivierenbuurt,house
68.0,84.16,-16.16,16.16,23.77,private_room,De Baarsjes - Oud-West,apartment
158.0,140.15,17.85,17.85,11.3,private_room,Centrum-Oost,apartment
275.0,354.14,-79.14,79.14,28.78,entire_home,De Baarsjes - Oud-West,apartment
104.0,132.77,-28.77,28.77,27.66,private_room,Oud-Oost,house
374.0,294.85,79.15,79.15,21.16,entire_home,Centrum-Oost,house
125.0,131.64,-6.64,6.64,5.31,private_room,Westerpark,unique
360.0,404.84,-44.84,44.84,12.46,entire_home,Centrum-Oost,apartment
178.0,179.67,-1.67,1.67,0.94,hotel_room,Centrum-West,hotel
166.0,180.17,-14.17,14.17,8.54,hotel_room,Centrum-West,hotel
115.0,95.94,19.06,19.06,16.58,private_room,De Pijp - Rivierenbuurt,apartment
90.0,105.35,-15.35,15.35,17.05,private_room,Centrum-West,apartment
123.0,151.95,-28.95,28.95,23.53,private_room,De Baarsjes - Oud-West,apartment
255.0,341.8,-86.8,86.8,34.04,entire_home,De Baarsjes - Oud-West,apartment
199.0,163.61,35.39,35.39,17.79,private_room,Centrum-Oost,unique
140.0,139.61,0.39,0.39,0.28,private_room,Centrum-Oost,house
172.0,208.08,-36.08,36.08,20.98,private_room,Centrum-Oost,hotel
235.0,196.74,38.26,38.26,16.28,private_room,Centrum-Oost,hotel
89.0,83.71,5.29,5.29,5.94,private_room,Buitenveldert - Zuidas,apartment
108.0,145.77,-37.77,37.77,34.97,entire_home,Westerpark,apartment
276.0,593.78,-317.78,317.78,115.14,entire_home,IJburg - Zeeburgereiland,house
355.0,356.08,-1.08,1.08,0.3,entire_home,De Pijp - Rivierenbuurt,apartment
250.0,270.08,-20.08,20.08,8.03,entire_home,Westerpark,apartment
255.0,237.39,17.61,17.61,6.91,entire_home,Centrum-West,apartment
808.0,773.69,34.31,34.31,4.25,entire_home,Centrum-West,apartment
76.0,93.37,-17.37,17.37,22.85,private_room,Zuid,apartment
591.0,377.24,213.76,213.76,36.17,entire_home,Westerpark,unique
293.0,278.12,14.88,14.88,5.08,entire_home,Oud-Noord,house
86.0,135.73,-49.73,49.73,57.83,private_room,De Pijp - Rivierenbuurt,house
338.0,279.35,58.65,58.65,17.35,entire_home,IJburg - Zeeburgereiland,house
68.0,94.73,-26.73,26.73,39.31,private_room,Noord-Oost,unique
248.0,227.95,20.05,20.05,8.09,entire_home,Centrum-Oost,apartment
264.0,212.74,51.26,51.26,19.42,entire_home,Oostelijk Havengebied - Indische Buurt,apartment
110.0,87.1,22.9,22.9,20.82,private_room,Bos en Lommer,apartment
220.0,178.52,41.48,41.48,18.85,entire_home,De Pijp - Rivierenbuurt,apartment
212.0,182.27,29.73,29.73,14.02,entire_home,De Pijp - Rivierenbuurt,apartment
162.0,124.0,38.0,38.0,23.45,entire_home,Zuid,apartment
174.0,229.57,-55.57,55.57,31.93,entire_home,Watergraafsmeer,house
79.0,93.49,-14.49,14.49,18.34,private_room,Zuid,apartment
139.0,147.42,-8.42,8.42,6.06,private_room,Centrum-West,house
127.0,134.04,-7.04,7.04,5.54,private_room,De Pijp - Rivierenbuurt,house
303.0,392.61,-89.61,89.61,29.57,entire_home,De Pijp - Rivierenbuurt,house
94.0,336.56,-242.56,242.56,258.04,private_room,Oud-Noord,house
553.0,332.09,220.91,220.91,39.95,entire_home,De Pijp - Rivierenbuurt,apartment
270.0,484.92,-214.92,214.92,79.6,entire_home,De Baarsjes - Oud-West,apartment
84.0,71.04,12.96,12.96,15.42,private_room,Bos en Lommer,apartment
125.0,215.63,-90.63,90.63,72.51,entire_home,Oud-Noord,house
113.0,95.04,17.96,17.96,15.89,private_room,Slotervaart,hotel
75.0,101.79,-26.79,26.79,35.71,private_room,Centrum-West,apartment
113.0,91.97,21.03,21.03,18.61,private_room,Slotervaart,hotel
225.0,260.35,-35.35,35.35,15.71,private_room,Slotervaart,hotel
162.0,173.34,-11.34,11.34,7.0,private_room,Centrum-West,apartment
540.0,816.74,-276.74,276.74,51.25,entire_home,Centrum-West,house
405.0,231.54,173.46,173.46,42.83,entire_home,Oud-Noord,house
245.0,230.28,14.72,14.72,6.01,entire_home,Zuid,apartment
929.0,598.3,330.7,330.7,35.6,entire_home,Centrum-Oost,apartment
123.0,124.09,-1.09,1.09,0.89,private_room,Centrum-West,hotel
198.0,262.3,-64.3,64.3,32.48,entire_home,Centrum-Oost,apartment
129.0,127.03,1.97,1.97,1.53,private_room,Centrum-West,house
