actual_price,predicted_price,residual,absolute_error,pct_error,room_type,neighbourhood_cleansed,property_type_bucket
135.0,410.52,-275.52,275.52,204.09,entire_home,Prenzlauer Berg Südwest,apartment
60.0,47.51,12.49,12.49,20.82,private_room,Schöneberg-Nord,apartment
200.0,127.71,72.29,72.29,36.15,entire_home,Frankfurter Allee Süd FK,apartment
144.0,156.71,-12.71,12.71,8.83,entire_home,Reuterstraße,apartment
99.0,82.4,16.6,16.6,16.77,entire_home,Schmargendorf,apartment
94.0,108.73,-14.73,14.73,15.67,entire_home,Alexanderplatz,apartment
95.0,130.01,-35.01,35.01,36.86,entire_home,Blankenfelde/Niederschönhausen,house
58.0,78.88,-20.88,20.88,35.99,entire_home,südliche Luisenstadt,apartment
67.0,93.52,-26.52,26.52,39.58,entire_home,Buckow Nord,other
110.0,56.58,53.42,53.42,48.56,private_room,Südliche Friedrichstadt,apartment
50.0,48.79,1.21,1.21,2.43,private_room,Düsseldorfer Straße,apartment
84.0,58.91,25.09,25.09,29.87,entire_home,Mierendorffplatz,apartment
60.0,63.74,-3.74,3.74,6.24,private_room,Alexanderplatz,apartment
55.0,79.12,-24.12,24.12,43.86,entire_home,Buckow Nord,apartment
146.0,113.43,32.57,32.57,22.31,entire_home,Frankfurter Allee Süd FK,apartment
89.0,107.08,-18.08,18.08,20.31,entire_home,Zehlendorf  Südwest,apartment
85.0,68.7,16.3,16.3,19.17,entire_home,Zehlendorf  Südwest,apartment
92.0,100.93,-8.93,8.93,9.71,entire_home,Helmholtzplatz,apartment
80.0,82.49,-2.49,2.49,3.11,entire_home,Schöneberg-Süd,apartment
135.0,110.68,24.32,24.32,18.02,entire_home,Prenzlauer Berg Südwest,apartment
35.0,61.84,-26.84,26.84,76.69,private_room,Prenzlauer Berg Nordwest,apartment
91.0,66.01,24.99,24.99,27.46,private_room,Prenzlauer Berg Südwest,apartment
62.0,62.48,-0.48,0.48,0.77,entire_home,Otto-Suhr-Allee,apartment
116.0,88.21,27.79,27.79,23.95,entire_home,nördliche Luisenstadt,other
100.0,169.81,-69.81,69.81,69.81,entire_home,Prenzlauer Berg Südwest,apartment
105.0,114.73,-9.73,9.73,9.27,entire_home,Brunnenstr. Süd,apartment
115.0,122.03,-7.03,7.03,6.12,entire_home,Brunnenstr. Süd,apartment
259.0,228.96,30.04,30.04,11.6,entire_home,Schöneberg-Süd,apartment
87.0,85.31,1.69,1.69,1.94,entire_home,Prenzlauer Berg Nordwest,apartment
51.0,64.28,-13.28,13.28,26.04,private_room,Schöneberg-Nord,apartment
198.0,204.81,-6.81,6.81,3.44,entire_home,Prenzlauer Berg Süd,apartment
29.0,38.9,-9.9,9.9,34.15,private_room,Ost 2,apartment
135.0,75.07,59.93,59.93,44.39,entire_home,südliche Luisenstadt,apartment
77.0,50.32,26.68,26.68,34.65,entire_home,Neue Kantstraße,apartment
49.0,53.47,-4.47,4.47,9.12,private_room,südliche Luisenstadt,apartment
70.0,110.36,-40.36,40.36,57.65,entire_home,südliche Luisenstadt,apartment
57.0,80.71,-23.71,23.71,41.6,entire_home,Moabit Ost,apartment
281.0,181.36,99.64,99.64,35.46,entire_home,südliche Luisenstadt,apartment
40.0,52.0,-12.0,12.0,30.01,entire_home,Gropiusstadt,apartment
225.0,97.88,127.12,127.12,56.5,entire_home,Schöneberg-Nord,apartment
62.0,75.46,-13.46,13.46,21.71,entire_home,Ost 1,apartment
165.0,99.66,65.34,65.34,39.6,entire_home,südliche Luisenstadt,apartment
129.0,140.23,-11.23,11.23,8.7,entire_home,Rixdorf,apartment
109.0,98.7,10.3,10.3,9.45,entire_home,Prenzlauer Berg Süd,apartment
33.0,31.45,1.55,1.55,4.71,private_room,Oberschöneweide,apartment
100.0,105.09,-5.09,5.09,5.09,entire_home,südliche Luisenstadt,apartment
136.0,97.41,38.59,38.59,28.38,entire_home,Prenzlauer Berg Nordwest,apartment
184.0,129.76,54.24,54.24,29.48,entire_home,Prenzlauer Berg Süd,apartment
47.0,73.29,-26.29,26.29,55.93,entire_home,Westend,apartment
693.0,183.25,509.75,509.75,73.56,entire_home,Wiesbadener Straße,apartment
171.0,105.45,65.55,65.55,38.33,entire_home,Wiesbadener Straße,apartment
82.0,76.73,5.27,5.27,6.43,entire_home,Tiergarten Süd,apartment
58.0,74.59,-16.59,16.59,28.6,entire_home,Prenzlauer Berg Nordwest,apartment
208.0,169.71,38.29,38.29,18.41,entire_home,Brunnenstr. Süd,apartment
93.0,78.96,14.04,14.04,15.09,entire_home,Brunnenstr. Süd,apartment
108.0,51.36,56.64,56.64,52.44,private_room,Barstraße,apartment
78.0,63.49,14.51,14.51,18.61,private_room,Alexanderplatz,apartment
145.0,127.36,17.64,17.64,12.16,entire_home,Brunnenstr. Süd,apartment
41.0,55.69,-14.69,14.69,35.82,entire_home,Parkviertel,apartment
80.0,108.44,-28.44,28.44,35.56,entire_home,Karl-Marx-Allee-Nord,apartment
46.0,46.83,-0.83,0.83,1.8,private_room,Otto-Suhr-Allee,apartment
208.0,131.61,76.39,76.39,36.72,entire_home,Brunnenstr. Süd,apartment
260.0,184.31,75.69,75.69,29.11,entire_home,Brunnenstr. Süd,apartment
260.0,157.15,102.85,102.85,39.56,entire_home,Brunnenstr. Süd,apartment
208.0,156.96,51.04,51.04,24.54,entire_home,Brunnenstr. Süd,apartment
210.0,173.22,36.78,36.78,17.51,entire_home,Schöneberg-Nord,apartment
89.0,99.72,-10.72,10.72,12.04,entire_home,Brunnenstr. Süd,apartment
54.0,67.29,-13.29,13.29,24.62,private_room,Prenzlauer Berg Nord,apartment
38.0,76.6,-38.6,38.6,101.58,entire_home,südliche Luisenstadt,apartment
72.0,125.18,-53.18,53.18,73.86,entire_home,Lichtenrade,apartment
88.0,86.66,1.34,1.34,1.53,entire_home,Mierendorffplatz,apartment
73.0,53.0,20.0,20.0,27.39,private_room,Zehlendorf  Nord,house
98.0,78.0,20.0,20.0,20.41,private_room,nördliche Luisenstadt,apartment
236.0,234.4,1.6,1.6,0.68,entire_home,Alexanderplatz,apartment
65.0,48.82,16.18,16.18,24.89,private_room,Schöneberg-Süd,apartment
85.0,79.48,5.52,5.52,6.49,entire_home,Tempelhofer Vorstadt,apartment
100.0,143.47,-43.47,43.47,43.47,entire_home,Rahnsdorf/Hessenwinkel,apartment
124.0,125.7,-1.7,1.7,1.37,entire_home,Brunnenstr. Süd,apartment
51.0,48.3,2.7,2.7,5.29,entire_home,Reuterstraße,apartment
74.0,90.31,-16.31,16.31,22.04,entire_home,Brunnenstr. Süd,apartment
73.0,91.4,-18.4,18.4,25.21,entire_home,Moabit West,apartment
42.0,59.87,-17.87,17.87,42.55,entire_home,Prenzlauer Berg Südwest,apartment
79.0,98.28,-19.28,19.28,24.41,entire_home,Alexanderplatz,apartment
276.0,220.32,55.68,55.68,20.17,entire_home,Prenzlauer Berg Südwest,apartment
140.0,126.36,13.64,13.64,9.74,entire_home,Friedenau,apartment
208.0,183.25,24.75,24.75,11.9,entire_home,Helmholtzplatz,apartment
106.0,110.87,-4.87,4.87,4.59,entire_home,Heerstrasse,apartment
86.0,82.15,3.85,3.85,4.48,entire_home,Südliche Friedrichstadt,apartment
189.0,185.24,3.76,3.76,1.99,entire_home,Alexanderplatz,apartment
63.0,65.01,-2.01,2.01,3.19,private_room,Südliche Friedrichstadt,apartment
63.0,120.63,-57.63,57.63,91.48,entire_home,Fennpfuhl,apartment
70.0,56.95,13.05,13.05,18.64,private_room,Rixdorf,apartment
93.0,108.6,-15.6,15.6,16.77,entire_home,Prenzlauer Berg Süd,apartment
68.0,67.52,0.48,0.48,0.7,entire_home,Helmholtzplatz,apartment
81.0,78.33,2.67,2.67,3.3,private_room,Brunnenstr. Süd,house
83.0,58.91,24.09,24.09,29.02,private_room,Rixdorf,apartment
133.0,159.34,-26.34,26.34,19.81,entire_home,Prenzlauer Berg Süd,apartment
90.0,76.6,13.4,13.4,14.89,private_room,nördliche Luisenstadt,apartment
65.0,105.51,-40.51,40.51,62.33,private_room,Prenzlauer Berg Südwest,apartment
101.0,109.15,-8.15,8.15,8.07,entire_home,Schöneberg-Süd,apartment
103.0,92.21,10.79,10.79,10.48,entire_home,Karl-Marx-Allee-Süd,apartment
272.0,241.3,30.7,30.7,11.29,entire_home,Tempelhofer Vorstadt,apartment
77.0,79.42,-2.42,2.42,3.14,private_room,Südliche Friedrichstadt,apartment
176.0,87.76,88.24,88.24,50.14,private_room,Schillerpromenade,apartment
193.0,137.64,55.36,55.36,28.68,entire_home,Alexanderplatz,apartment
55.0,89.36,-34.36,34.36,62.48,private_room,Brunnenstr. Nord,apartment
297.0,235.18,61.82,61.82,20.82,entire_home,nördliche Luisenstadt,apartment
99.0,110.21,-11.21,11.21,11.33,entire_home,Buckow,hotel
76.0,95.98,-19.98,19.98,26.28,private_room,Schillerpromenade,apartment
54.0,75.36,-21.36,21.36,39.56,entire_home,Drakestr.,apartment
85.0,109.92,-24.92,24.92,29.32,entire_home,Alexanderplatz,apartment
60.0,60.49,-0.49,0.49,0.82,private_room,Südliche Friedrichstadt,apartment
121.0,111.47,9.53,9.53,7.88,entire_home,Wedding Zentrum,apartment
129.0,125.49,3.51,3.51,2.72,entire_home,Alexanderplatz,apartment
114.0,144.5,-30.5,30.5,26.76,entire_home,Rixdorf,apartment
40.0,52.65,-12.65,12.65,31.63,private_room,Baumschulenweg,apartment
130.0,160.74,-30.74,30.74,23.65,entire_home,Regierungsviertel,apartment
38.0,62.46,-24.46,24.46,64.37,private_room,Reuterstraße,apartment
203.0,140.87,62.13,62.13,30.61,entire_home,Grunewald,apartment
68.0,76.95,-8.95,8.95,13.16,entire_home,Tempelhofer Vorstadt,apartment
34.0,38.86,-4.86,4.86,14.28,private_room,Moabit West,apartment
207.0,144.86,62.14,62.14,30.02,entire_home,Rahnsdorf/Hessenwinkel,house
196.0,121.97,74.03,74.03,37.77,entire_home,Forst Grunewald,house
92.0,87.51,4.49,4.49,4.88,entire_home,Schloß Charlottenburg,apartment
66.0,62.8,3.2,3.2,4.85,private_room,Alexanderplatz,apartment
40.0,35.25,4.75,4.75,11.88,private_room,Oberschöneweide,apartment
147.0,151.27,-4.27,4.27,2.9,entire_home,Prenzlauer Berg Nord,apartment
29.0,66.51,-37.51,37.51,129.36,entire_home,Buchholz,apartment
71.0,71.68,-0.68,0.68,0.96,entire_home,Schöneberg-Nord,apartment
97.0,92.75,4.25,4.25,4.38,entire_home,Prenzlauer Berg Nordwest,apartment
98.0,203.46,-105.46,105.46,107.61,entire_home,Düsseldorfer Straße,apartment
172.0,186.01,-14.01,14.01,8.15,entire_home,Alexanderplatz,apartment
190.0,238.05,-48.05,48.05,25.29,entire_home,Prenzlauer Berg Nordwest,apartment
123.0,131.89,-8.89,8.89,7.23,entire_home,Tempelhofer Vorstadt,apartment
