actual_price,predicted_price,residual,absolute_error,pct_error,room_type,neighbourhood_cleansed,property_type_bucket
157.0,143.18,13.82,13.82,8.81,entire_home,Sol,apartment
143.0,162.67,-19.67,19.67,13.76,entire_home,Universidad,apartment
116.0,98.62,17.38,17.38,14.98,entire_home,Universidad,apartment
79.0,99.2,-20.2,20.2,25.57,entire_home,Universidad,apartment
300.0,158.11,141.89,141.89,47.3,entire_home,Embajadores,apartment
166.0,182.66,-16.66,16.66,10.04,entire_home,Embajadores,apartment
45.0,75.29,-30.29,30.29,67.32,private_room,Palacio,apartment
60.0,69.22,-9.22,9.22,15.36,private_room,Universidad,apartment
157.0,153.35,3.65,3.65,2.33,entire_home,Cortes,apartment
95.0,116.63,-21.63,21.63,22.77,entire_home,Embajadores,apartment
160.0,204.4,-44.4,44.4,27.75,entire_home,Almenara,apartment
68.0,88.44,-20.44,20.44,30.05,entire_home,Universidad,apartment
181.0,149.16,31.84,31.84,17.59,entire_home,Palacio,apartment
127.0,173.05,-46.05,46.05,36.26,entire_home,Sol,apartment
53.0,75.73,-22.73,22.73,42.88,private_room,Cortes,apartment
29.0,26.72,2.28,2.28,7.87,private_room,Lucero,house
406.0,438.16,-32.16,32.16,7.92,entire_home,Sol,apartment
97.0,136.32,-39.32,39.32,40.53,entire_home,Sol,apartment
147.0,154.69,-7.69,7.69,5.23,entire_home,Universidad,apartment
156.0,129.23,26.77,26.77,17.16,entire_home,Universidad,apartment
147.0,134.58,12.42,12.42,8.45,entire_home,Universidad,apartment
63.0,124.48,-61.48,61.48,97.59,entire_home,Sol,apartment
63.0,112.74,-49.74,49.74,78.95,entire_home,Palacio,apartment
42.0,40.54,1.46,1.46,3.47,private_room,Arcos,apartment
365.0,284.26,80.74,80.74,22.12,entire_home,Palacio,apartment
46.0,47.99,-1.99,1.99,4.33,private_room,Palos de Moguer,apartment
278.0,273.66,4.34,4.34,1.56,entire_home,Recoletos,apartment
97.0,103.68,-6.68,6.68,6.89,entire_home,Embajadores,apartment
32.0,38.32,-6.32,6.32,19.75,private_room,Numancia,apartment
53.0,47.19,5.81,5.81,10.96,private_room,Rios Rosas,apartment
44.0,64.44,-20.44,20.44,46.46,private_room,Justicia,apartment
459.0,146.56,312.44,312.44,68.07,entire_home,Embajadores,apartment
87.0,133.1,-46.1,46.1,52.99,entire_home,San Andrés,apartment
49.0,71.15,-22.15,22.15,45.21,entire_home,Cortes,apartment
93.0,102.24,-9.24,9.24,9.93,entire_home,Justicia,apartment
121.0,126.13,-5.13,5.13,4.24,entire_home,Cortes,apartment
103.0,102.57,0.43,0.43,0.42,entire_home,Embajadores,apartment
