source_file,rule,violation_count
listings.csv.gz,price_negative,0
listings.csv.gz,price_zero,0
listings.csv.gz,latitude_out_of_range,0
listings.csv.gz,longitude_out_of_range,0
listings.csv.gz,latitude_outside_london_bbox,0
listings.csv.gz,longitude_outside_london_bbox,0
listings.csv.gz,minimum_nights_le_zero,0
listings.csv.gz,minimum_nights_ge_365,120
listings.csv.gz,maximum_nights_int_max_sentinel,0
listings.csv.gz,availability_30_out_of_range,0
listings.csv.gz,availability_60_out_of_range,0
listings.csv.gz,availability_90_out_of_range,0
listings.csv.gz,availability_365_out_of_range,0
listings.csv.gz,number_of_reviews_negative,0
listings.csv.gz,accommodates_le_zero,0
listings.csv.gz,bedrooms_negative,0
listings.csv.gz,beds_negative,0
calendar.csv.gz,available_not_in_t_f,0
calendar.csv.gz,minimum_nights_le_zero,0
calendar.csv.gz,minimum_nights_ge_365,41137
calendar.csv.gz,maximum_nights_int_max_sentinel,4708
