source_file,column,non_null,iqr_lower,iqr_upper,low_outliers,high_outliers,sentinel_int_max_rows
listings.csv.gz,accommodates,96871,-1.0,7.0,0,4705,0
listings.csv.gz,bathrooms,62025,0.25,2.25,356,4852,0
listings.csv.gz,bedrooms,84096,-0.5,3.5,0,4512,0
listings.csv.gz,beds,61951,-0.5,3.5,0,7147,0
listings.csv.gz,minimum_nights,96871,-3.5,8.5,0,7136,0
listings.csv.gz,maximum_nights,96871,-945.0,1735.0,0,7,0
listings.csv.gz,availability_30,96871,-27.0,45.0,0,0,0
listings.csv.gz,availability_60,96871,-67.5,112.5,0,0,0
listings.csv.gz,availability_90,96871,-109.5,182.5,0,0,0
listings.csv.gz,availability_365,96871,-432.0,720.0,0,0,0
listings.csv.gz,number_of_reviews,96871,-27.5,48.5,0,11446,0
listings.csv.gz,number_of_reviews_ltm,96871,-9.0,15.0,0,11039,0
listings.csv.gz,review_scores_rating,72749,3.95,5.63,3081,0,0
listings.csv.gz,reviews_per_month,72749,-1.56,3.0,0,5502,0
listings.csv.gz,calculated_host_listings_count,96871,-9.5,18.5,0,15601,0
listings.csv.gz,estimated_occupancy_l365d,96871,-90.0,150.0,0,11309,0
listings.csv.gz,estimated_revenue_l365d,61963,-18375.0,30625.0,0,5257,0
calendar.csv.gz,minimum_nights,35357974,-3.5,8.5,0,3006207,0
calendar.csv.gz,maximum_nights,35353266,-1462.5,2677.5,0,1748,4708
