id,neighbourhood_cleansed,room_type,property_type_bucket,price_numeric,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,host_segment,host_response_rate
44391,Centrum-Oost,entire_home,apartment,,42,4.71,4.49,4.9,solo,
80635,Centrum-West,private_room,house,,241,4.77,4.82,4.79,multi,
91535,De Pijp - Rivierenbuurt,private_room,unique,,318,4.79,4.65,4.88,solo,1.0
97221,Slotervaart,private_room,hotel,68.0,412,4.68,4.88,4.78,multi,1.0
137026,De Pijp - Rivierenbuurt,entire_home,house,335.0,117,4.71,4.63,4.88,solo,1.0
168769,Centrum-West,private_room,hotel,,278,4.59,4.77,4.71,multi,
171054,De Baarsjes - Oud-West,entire_home,apartment,,103,4.75,4.77,4.97,solo,
179528,De Pijp - Rivierenbuurt,entire_home,apartment,301.0,37,4.57,4.43,4.86,multi,1.0
188347,De Baarsjes - Oud-West,private_room,apartment,68.0,478,4.68,4.81,4.87,solo,1.0
283170,Zuid,entire_home,apartment,1036.0,130,4.5,4.53,4.83,solo,1.0
304082,Centrum-West,entire_home,house,185.0,381,4.78,4.75,4.85,solo,0.95
306852,Centrum-Oost,entire_home,apartment,200.0,32,4.63,4.63,4.88,multi,
308028,Centrum-Oost,private_room,apartment,,36,4.75,4.69,4.92,multi,
311124,Centrum-West,entire_home,apartment,325.0,100,4.79,4.8,4.93,solo,1.0
359298,Centrum-Oost,entire_home,apartment,271.0,112,4.58,4.23,4.79,solo,0.0
366438,Centrum-West,private_room,apartment,147.0,565,4.78,4.78,4.9,solo,1.0
379885,De Pijp - Rivierenbuurt,private_room,house,228.0,94,4.66,4.53,4.57,solo,
441424,Oostelijk Havengebied - Indische Buurt,entire_home,house,158.0,45,4.64,4.44,4.84,solo,1.0
450767,Centrum-Oost,entire_home,house,374.0,334,4.77,4.76,4.78,multi,1.0
505012,Centrum-Oost,entire_home,house,630.0,61,4.74,4.72,4.97,solo,0.0
507598,Centrum-West,entire_home,apartment,500.0,62,4.74,4.66,4.9,solo,1.0
515921,Zuid,entire_home,apartment,175.0,104,4.37,4.1,4.57,solo,1.0
528594,Slotervaart,private_room,apartment,,75,4.78,4.85,4.88,multi,1.0
549310,De Baarsjes - Oud-West,entire_home,apartment,,63,4.59,4.48,4.71,solo,1.0
553514,Westerpark,entire_home,apartment,108.0,162,4.41,4.34,4.88,solo,0.5
575615,Centrum-Oost,entire_home,apartment,,40,4.75,4.64,4.78,solo,
588020,Centrum-Oost,entire_home,apartment,360.0,391,4.57,4.63,4.64,multi,1.0
608432,Centrum-West,private_room,hotel,110.0,1002,4.78,4.79,4.93,multi,1.0
664697,Oud-Noord,entire_home,apartment,87.0,62,4.33,4.23,4.6,multi,0.9
683431,De Pijp - Rivierenbuurt,private_room,apartment,115.0,774,4.7,4.62,4.93,solo,1.0
689623,Centrum-Oost,entire_home,apartment,162.0,98,4.76,4.56,4.86,solo,
716107,De Baarsjes - Oud-West,entire_home,apartment,,175,4.72,4.65,4.84,solo,
729260,Centrum-West,entire_home,apartment,184.0,108,4.71,4.19,4.89,solo,1.0
729317,Centrum-Oost,private_room,hotel,147.0,218,4.7,4.66,4.81,multi,1.0
730916,Westerpark,private_room,apartment,,453,4.75,4.78,4.86,solo,1.0
746067,Centrum-West,entire_home,apartment,,91,4.73,4.62,4.91,multi,1.0
751626,Oud-Oost,entire_home,apartment,,32,4.72,4.72,4.91,solo,1.0
758475,De Baarsjes - Oud-West,entire_home,apartment,,39,4.74,4.51,4.87,solo,
761411,Noord-Oost,private_room,apartment,,346,4.76,4.9,4.92,multi,1.0
771758,Slotervaart,private_room,hotel,60.0,374,4.63,4.89,4.78,multi,1.0
775655,Centrum-Oost,private_room,apartment,137.0,555,4.6,4.61,4.8,solo,0.93
782254,Centrum-West,entire_home,apartment,,67,4.71,4.69,4.8,solo,1.0
794322,Centrum-Oost,private_room,unique,199.0,446,4.78,4.65,4.75,solo,1.0
801544,De Pijp - Rivierenbuurt,entire_home,apartment,,105,4.57,4.4,4.72,solo,1.0
847093,De Baarsjes - Oud-West,entire_home,apartment,340.0,58,4.74,4.76,4.84,multi,1.0
851044,Zuid,entire_home,apartment,138.0,1133,4.75,4.84,4.81,multi,0.97
874057,De Baarsjes - Oud-West,entire_home,apartment,,35,4.63,4.65,4.82,solo,
879986,De Pijp - Rivierenbuurt,private_room,apartment,108.0,622,4.72,4.76,4.92,solo,1.0
906446,Buitenveldert - Zuidas,private_room,apartment,89.0,437,4.45,4.75,4.55,multi,1.0
916096,Centrum-West,entire_home,apartment,,93,4.72,4.66,4.95,solo,1.0
934060,Oud-Noord,private_room,unique,668.0,163,4.75,4.82,4.84,multi,1.0
937635,De Baarsjes - Oud-West,entire_home,apartment,,93,4.65,4.18,4.56,solo,1.0
951483,Watergraafsmeer,entire_home,house,128.0,67,4.66,4.58,4.6,solo,1.0
969862,Zuid,private_room,apartment,95.0,274,4.77,4.82,4.92,solo,1.0
978852,De Baarsjes - Oud-West,private_room,hotel,,264,4.4,4.2,4.71,solo,
989222,De Pijp - Rivierenbuurt,entire_home,apartment,,34,4.74,4.85,4.85,multi,
1008006,Westerpark,private_room,unique,127.0,203,4.77,4.81,4.76,multi,1.0
1008223,Slotervaart,private_room,hotel,86.0,659,4.69,4.65,4.85,solo,
1018639,Centrum-Oost,private_room,apartment,,41,4.61,4.7,4.83,multi,0.9
1018703,De Pijp - Rivierenbuurt,private_room,unique,164.0,358,4.72,4.7,4.83,multi,1.0
1044448,Oud-Oost,entire_home,apartment,750.0,51,4.68,4.6,4.92,solo,1.0
1047746,Oud-Oost,entire_home,apartment,250.0,34,4.71,4.68,4.88,solo,
1057494,Zuid,private_room,apartment,76.0,626,4.44,4.58,4.71,multi,1.0
