host_id,listing_count,listing_share,cumulative_share,host_pct
39110511,35,0.00334,0.00334,0.000109
203731852,23,0.002195,0.005534,0.000217
364305280,23,0.002195,0.007729,0.000326
198405490,18,0.001718,0.009447,0.000435
14574533,15,0.001431,0.010878,0.000543
488984558,15,0.001431,0.012309,0.000652
143098191,15,0.001431,0.01374,0.000761
241644101,13,0.00124,0.014981,0.000869
677835907,13,0.00124,0.016221,0.000978
237150404,13,0.00124,0.017462,0.001087
408898089,13,0.00124,0.018702,0.001196
237150996,12,0.001145,0.019847,0.001304
243878598,12,0.001145,0.020992,0.001413
273266448,12,0.001145,0.022137,0.001522
685128094,11,0.00105,0.023187,0.00163
662942026,11,0.00105,0.024237,0.001739
375961673,11,0.00105,0.025286,0.001848
121291199,10,0.000954,0.02624,0.001956
700643286,10,0.000954,0.027195,0.002065
237150727,10,0.000954,0.028149,0.002174
495838645,10,0.000954,0.029103,0.002282
68338234,10,0.000954,0.030057,0.002391
311321908,9,0.000859,0.030916,0.0025
237371423,9,0.000859,0.031775,0.002608
484535538,9,0.000859,0.032634,0.002717
16583473,9,0.000859,0.033492,0.002826
9282300,9,0.000859,0.034351,0.002934
289104253,9,0.000859,0.03521,0.003043
704385905,8,0.000763,0.035973,0.003152
428344496,8,0.000763,0.036737,0.003261
3040748,8,0.000763,0.0375,0.003369
398261845,8,0.000763,0.038263,0.003478
369191693,8,0.000763,0.039027,0.003587
651299682,8,0.000763,0.03979,0.003695
559442731,7,0.000668,0.040458,0.003804
9435259,7,0.000668,0.041126,0.003913
30890942,7,0.000668,0.041794,0.004021
342059962,7,0.000668,0.042462,0.00413
135487531,7,0.000668,0.04313,0.004239
559444009,7,0.000668,0.043798,0.004347
548528525,7,0.000668,0.044466,0.004456
686647469,7,0.000668,0.045134,0.004565
557018845,7,0.000668,0.045802,0.004673
401163260,7,0.000668,0.046469,0.004782
366607134,6,0.000573,0.047042,0.004891
4456680,6,0.000573,0.047615,0.004999
218582446,6,0.000573,0.048187,0.005108
176320082,6,0.000573,0.04876,0.005217
481501477,6,0.000573,0.049332,0.005326
140775798,6,0.000573,0.049905,0.005434
367808546,6,0.000573,0.050477,0.005543
244695471,6,0.000573,0.05105,0.005652
228208519,6,0.000573,0.051622,0.00576
24002310,6,0.000573,0.052195,0.005869
503491020,6,0.000573,0.052767,0.005978
559931463,6,0.000573,0.05334,0.006086
563016452,6,0.000573,0.053912,0.006195
582044262,6,0.000573,0.054485,0.006304
418270816,6,0.000573,0.055057,0.006412
555466758,6,0.000573,0.05563,0.006521
198469799,6,0.000573,0.056202,0.00663
695437936,6,0.000573,0.056775,0.006738
323946609,5,0.000477,0.057252,0.006847
354532008,5,0.000477,0.057729,0.006956
357809665,5,0.000477,0.058206,0.007064
407017762,5,0.000477,0.058683,0.007173
449825081,5,0.000477,0.05916,0.007282
451194922,5,0.000477,0.059637,0.007391
460700360,5,0.000477,0.060115,0.007499
545567767,5,0.000477,0.060592,0.007608
548520839,5,0.000477,0.061069,0.007717
551668595,5,0.000477,0.061546,0.007825
221337240,5,0.000477,0.062023,0.007934
24325696,5,0.000477,0.0625,0.008043
560847464,5,0.000477,0.062977,0.008151
33089464,5,0.000477,0.063454,0.00826
574979373,5,0.000477,0.063931,0.008369
13764503,5,0.000477,0.064408,0.008477
5137582,5,0.000477,0.064885,0.008586
46691672,5,0.000477,0.065363,0.008695
141658613,5,0.000477,0.06584,0.008803
141677638,5,0.000477,0.066317,0.008912
10076897,5,0.000477,0.066794,0.009021
205830809,5,0.000477,0.067271,0.009129
219618697,5,0.000477,0.067748,0.009238
701787185,5,0.000477,0.068225,0.009347
229196646,5,0.000477,0.068702,0.009455
4905127,4,0.000382,0.069084,0.009564
493729292,4,0.000382,0.069466,0.009673
21686664,4,0.000382,0.069847,0.009782
502914333,4,0.000382,0.070229,0.00989
613779,4,0.000382,0.070611,0.009999
517668573,4,0.000382,0.070992,0.010108
531806158,4,0.000382,0.071374,0.010216
541620743,4,0.000382,0.071756,0.010325
311323273,4,0.000382,0.072137,0.010434
281658595,4,0.000382,0.072519,0.010542
139075883,4,0.000382,0.072901,0.010651
249828335,4,0.000382,0.073282,0.01076
551964399,4,0.000382,0.073664,0.010868
436145,4,0.000382,0.074046,0.010977
128826790,4,0.000382,0.074427,0.011086
3409826,4,0.000382,0.074809,0.011194
228217790,4,0.000382,0.075191,0.011303
369938358,4,0.000382,0.075573,0.011412
106267213,4,0.000382,0.075954,0.01152
391929878,4,0.000382,0.076336,0.011629
565327731,4,0.000382,0.076718,0.011738
220711664,4,0.000382,0.077099,0.011847
230163762,4,0.000382,0.077481,0.011955
586242631,4,0.000382,0.077863,0.012064
591582826,4,0.000382,0.078244,0.012173
312020333,4,0.000382,0.078626,0.012281
94842931,4,0.000382,0.079008,0.01239
669257810,4,0.000382,0.079389,0.012499
675833029,4,0.000382,0.079771,0.012607
154433811,4,0.000382,0.080153,0.012716
150677340,4,0.000382,0.080534,0.012825
342668428,4,0.000382,0.080916,0.012933
691588332,4,0.000382,0.081298,0.013042
363404652,4,0.000382,0.081679,0.013151
699641947,4,0.000382,0.082061,0.013259
363449935,4,0.000382,0.082443,0.013368
62643050,4,0.000382,0.082824,0.013477
