month,total_days,available_days,unique_listings,availability_rate,occupancy_rate
2025-09,209600,32002,10480,0.1527,0.8473
2025-10,324880,70743,10480,0.2178,0.7822
2025-11,314400,92943,10480,0.2956,0.7044
2025-12,324880,95646,10480,0.2944,0.7056
2026-01,324880,98897,10480,0.3044,0.6956
2026-02,293440,92499,10480,0.3152,0.6848
2026-03,324880,91839,10480,0.2827,0.7173
2026-04,314400,80717,10480,0.2567,0.7433
2026-05,324880,88595,10480,0.2727,0.7273
2026-06,314400,72984,10480,0.2321,0.7679
2026-07,324880,71890,10480,0.2213,0.7787
2026-08,324880,72879,10480,0.2243,0.7757
2026-09,104800,24034,10480,0.2293,0.7707
