month,review_count,active_listings,reviews_per_active_listing
2010-08,1,1,1.0
2010-09,1,1,1.0
2010-10,2,2,1.0
2010-11,1,1,1.0
2010-12,2,2,1.0
2011-01,5,5,1.0
2011-02,2,1,2.0
2011-03,4,4,1.0
2011-04,11,7,1.57
2011-05,12,7,1.71
2011-06,13,7,1.86
2011-07,21,9,2.33
2011-08,24,10,2.4
2011-09,32,15,2.13
2011-10,27,12,2.25
2011-11,20,10,2.0
2011-12,9,5,1.8
2012-01,18,12,1.5
2012-02,12,9,1.33
2012-03,22,13,1.69
2012-04,62,26,2.38
2012-05,82,33,2.48
2012-06,73,27,2.7
2012-07,62,28,2.21
2012-08,76,43,1.77
2012-09,98,46,2.13
2012-10,114,46,2.48
2012-11,99,45,2.2
2012-12,74,37,2.0
2013-01,91,58,1.57
2013-02,67,32,2.09
2013-03,106,45,2.36
2013-04,224,87,2.57
2013-05,323,112,2.88
2013-06,229,78,2.94
2013-07,272,105,2.59
2013-08,311,118,2.64
2013-09,439,146,3.01
2013-10,397,145,2.74
2013-11,282,104,2.71
2013-12,161,85,1.89
2014-01,230,131,1.76
2014-02,186,82,2.27
2014-03,292,108,2.7
2014-04,530,205,2.59
2014-05,634,225,2.82
2014-06,654,225,2.91
2014-07,621,222,2.8
2014-08,794,279,2.85
2014-09,788,256,3.08
2014-10,819,277,2.96
2014-11,671,224,3.0
2014-12,513,198,2.59
2015-01,550,260,2.12
2015-02,533,201,2.65
2015-03,699,238,2.94
2015-04,1214,387,3.14
2015-05,1352,429,3.15
2015-06,1282,390,3.29
2015-07,1407,476,2.96
2015-08,1464,510,2.87
2015-09,1467,456,3.22
2015-10,1447,466,3.11
2015-11,1042,369,2.82
2015-12,906,341,2.66
2016-01,975,433,2.25
2016-02,1062,365,2.91
2016-03,1392,549,2.54
2016-04,1775,560,3.17
2016-05,2135,705,3.03
2016-06,1780,587,3.03
2016-07,1959,648,3.02
2016-08,2229,795,2.8
2016-09,2153,703,3.06
2016-10,2324,749,3.1
2016-11,1789,557,3.21
2016-12,1418,489,2.9
2017-01,1629,661,2.46
2017-02,1648,560,2.94
2017-03,1969,643,3.06
2017-04,3248,993,3.27
2017-05,3268,991,3.3
2017-06,2646,883,3.0
2017-07,2849,887,3.21
2017-08,3195,1070,2.99
2017-09,2777,938,2.96
2017-10,2919,949,3.08
2017-11,2037,694,2.94
2017-12,1873,668,2.8
2018-01,2148,876,2.45
2018-02,2160,724,2.98
2018-03,2680,864,3.1
2018-04,3846,1167,3.3
2018-05,4126,1283,3.22
2018-06,3718,1119,3.32
2018-07,4057,1290,3.14
2018-08,4235,1370,3.09
2018-09,3914,1214,3.22
2018-10,3973,1170,3.4
2018-11,3035,955,3.18
2018-12,2594,893,2.9
2019-01,2794,1053,2.65
2019-02,2897,957,3.03
2019-03,3669,1073,3.42
2019-04,4931,1522,3.24
2019-05,4849,1390,3.49
2019-06,4890,1481,3.3
2019-07,4697,1514,3.1
2019-08,4870,1558,3.13
2019-09,4673,1369,3.41
2019-10,4631,1380,3.36
2019-11,3635,1093,3.33
2019-12,3293,1108,2.97
2020-01,3281,1257,2.61
2020-02,3517,1154,3.05
2020-03,1756,851,2.06
2020-04,62,42,1.48
2020-05,195,102,1.91
2020-06,868,338,2.57
2020-07,2305,787,2.93
2020-08,2777,964,2.88
2020-09,1676,609,2.75
2020-10,703,308,2.28
2020-11,344,176,1.95
2020-12,399,199,2.01
2021-01,328,164,2.0
2021-02,341,160,2.13
2021-03,438,171,2.56
2021-04,502,217,2.31
2021-05,1141,421,2.71
2021-06,1380,517,2.67
2021-07,2929,953,3.07
2021-08,4215,1217,3.46
2021-09,3433,1033,3.32
2021-10,4292,1264,3.4
2021-11,4097,1183,3.46
2021-12,1894,767,2.47
2022-01,975,444,2.2
2022-02,2320,771,3.01
2022-03,4269,1185,3.6
2022-04,6025,1607,3.75
2022-05,6480,1726,3.75
2022-06,6206,1648,3.77
2022-07,6857,1945,3.53
2022-08,6981,2100,3.32
2022-09,6233,1775,3.51
2022-10,6560,1820,3.6
2022-11,5352,1459,3.67
2022-12,4403,1400,3.14
2023-01,4838,1534,3.15
2023-02,4562,1337,3.41
2023-03,5635,1600,3.52
2023-04,7535,2171,3.47
2023-05,8219,2389,3.44
2023-06,7346,2089,3.52
2023-07,7619,2275,3.35
2023-08,8284,2800,2.96
2023-09,7093,2202,3.22
2023-10,7705,2285,3.37
2023-11,5650,1647,3.43
2023-12,5083,1650,3.08
2024-01,4803,1787,2.69
2024-02,4465,1362,3.28
2024-03,6109,1881,3.25
2024-04,8538,2614,3.27
2024-05,8808,2873,3.07
2024-06,8040,2470,3.26
2024-07,8921,2915,3.06
2024-08,8592,2893,2.97
2024-09,8296,2701,3.07
2024-10,7738,2449,3.16
2024-11,6016,1888,3.19
2024-12,5559,1846,3.01
2025-01,5323,1993,2.67
2025-02,5041,1566,3.22
2025-03,6435,1942,3.31
2025-04,9919,3353,2.96
2025-05,9393,3164,2.97
2025-06,8930,2876,3.11
2025-07,8911,2887,3.09
2025-08,9243,3172,2.91
2025-09,1561,1049,1.49
