,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_count,missing_pct
price_numeric,5874.0,336.7852,1985.6619,35.0,66.0,93.0,161.0,222.0,314.0,550.0,991.62,80018.0,4606,44.0
availability_365,10480.0,93.9998,122.2762,0.0,0.0,0.0,0.0,20.0,173.0,347.0,363.0,365.0,0,0.0
number_of_reviews,10480.0,47.8134,131.5074,0.0,0.0,0.0,3.0,10.0,30.0,264.0,574.84,5097.0,0,0.0
review_scores_rating,9383.0,4.8441,0.2579,1.0,4.0,4.43,4.79,4.92,5.0,5.0,5.0,5.0,1097,10.5
review_scores_cleanliness,9382.0,4.7778,0.3179,1.0,3.5,4.21,4.69,4.87,5.0,5.0,5.0,5.0,1098,10.5
review_scores_communication,9383.0,4.9071,0.2167,1.0,4.0,4.59,4.9,5.0,5.0,5.0,5.0,5.0,1097,10.5
review_scores_location,9383.0,4.817,0.2317,2.0,4.0,4.4,4.73,4.89,5.0,5.0,5.0,5.0,1097,10.5
review_scores_value,9383.0,4.6539,0.3235,1.0,3.5,4.0,4.53,4.71,4.85,5.0,5.0,5.0,1097,10.5
host_tenure_years,10477.0,9.1136,3.4001,0.0164,0.3512,1.7774,7.3511,9.9247,11.5127,13.243,14.4031,17.0842,3,0.0
occupancy_proxy,10480.0,0.7423,0.335,0.0,0.0055,0.0493,0.526,0.9452,1.0,1.0,1.0,1.0,0,0.0
reviews_per_month_calc,9383.0,0.7993,2.2038,0.0,0.0,0.0,0.0,0.1667,0.5833,4.1667,7.1667,79.0833,1097,10.5
host_portfolio_size,10480.0,1.8441,3.1591,1.0,1.0,1.0,1.0,1.0,1.0,6.0,15.0,35.0,0,0.0
host_response_rate,6683.0,0.9181,0.2106,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,3797,36.2
