neighbourhood_cleansed,listing_count,median_price,mean_price,ci_lower,ci_upper
Bijlmer-Centrum,35,134.0,145.0,119.0,170.0
Bijlmer-Oost,22,128.0,157.0,121.0,194.0
Bos en Lommer,261,184.0,205.0,193.0,216.0
Buitenveldert - Zuidas,82,182.0,3013.0,677.0,5350.0
Centrum-Oost,580,240.0,308.0,281.0,334.0
Centrum-West,770,246.0,316.0,285.0,346.0
De Aker - Nieuw Sloten,42,152.0,186.0,148.0,223.0
De Baarsjes - Oud-West,992,240.0,271.0,262.0,280.0
De Pijp - Rivierenbuurt,649,250.0,280.0,269.0,292.0
Gaasperdam - Driemond,30,130.0,141.0,113.0,169.0
Geuzenveld - Slotermeer,91,182.0,196.0,177.0,214.0
IJburg - Zeeburgereiland,107,198.0,1730.0,-350.0,3811.0
Noord-Oost,127,169.0,191.0,167.0,216.0
Noord-West,175,180.0,197.0,185.0,209.0
Oostelijk Havengebied - Indische Buurt,231,195.0,217.0,204.0,229.0
Osdorp,37,153.0,169.0,143.0,194.0
Oud-Noord,252,196.0,370.0,223.0,518.0
Oud-Oost,326,222.0,252.0,236.0,267.0
Slotervaart,100,186.0,193.0,174.0,212.0
Watergraafsmeer,138,214.0,268.0,222.0,315.0
Westerpark,392,214.0,255.0,238.0,272.0
Zuid,435,238.0,310.0,282.0,337.0
