,coefficient,std_err,t_stat,p_value,ci_low,ci_high,significant
Intercept,3.944549,0.22694,17.381494,0.0,3.499755,4.389342,True
C(room_type)[T.hotel_room],0.151241,0.219808,0.688058,0.491416,-0.279575,0.582056,False
C(room_type)[T.private_room],-0.406539,0.017049,-23.844795,0.0,-0.439956,-0.373123,True
C(room_type)[T.shared_room],-0.537191,0.147977,-3.630246,0.000283,-0.82722,-0.247163,True
C(neighbourhood_cleansed)[T.Bijlmer-Oost],-0.24512,0.069045,-3.550162,0.000385,-0.380445,-0.109795,True
C(neighbourhood_cleansed)[T.Bos en Lommer],0.109687,0.052714,2.080799,0.037452,0.00637,0.213005,True
C(neighbourhood_cleansed)[T.Buitenveldert - Zuidas],0.400371,0.143476,2.790511,0.005262,0.119163,0.681579,True
C(neighbourhood_cleansed)[T.Centrum-Oost],0.472184,0.050309,9.385704,0.0,0.37358,0.570787,True
C(neighbourhood_cleansed)[T.Centrum-West],0.563171,0.050249,11.207608,0.0,0.464685,0.661657,True
C(neighbourhood_cleansed)[T.De Aker - Nieuw Sloten],-0.018519,0.085716,-0.216046,0.828952,-0.186518,0.149481,False
C(neighbourhood_cleansed)[T.De Baarsjes - Oud-West],0.376148,0.049604,7.583025,0.0,0.278926,0.47337,True
C(neighbourhood_cleansed)[T.De Pijp - Rivierenbuurt],0.420592,0.05039,8.346724,0.0,0.32183,0.519355,True
C(neighbourhood_cleansed)[T.Gaasperdam - Driemond],-0.169613,0.083371,-2.034433,0.041908,-0.333018,-0.006209,True
C(neighbourhood_cleansed)[T.Geuzenveld - Slotermeer],0.053228,0.062467,0.852093,0.394162,-0.069205,0.175661,False
C(neighbourhood_cleansed)[T.IJburg - Zeeburgereiland],0.163471,0.11258,1.452034,0.146492,-0.057183,0.384124,False
C(neighbourhood_cleansed)[T.Noord-Oost],-0.150104,0.055621,-2.698694,0.006961,-0.25912,-0.041089,True
C(neighbourhood_cleansed)[T.Noord-West],-0.131635,0.054323,-2.423202,0.015384,-0.238106,-0.025164,True
C(neighbourhood_cleansed)[T.Oostelijk Havengebied - Indische Buurt],0.177627,0.05281,3.363535,0.00077,0.074122,0.281132,True
C(neighbourhood_cleansed)[T.Osdorp],0.053597,0.064598,0.829712,0.406702,-0.073012,0.180206,False
C(neighbourhood_cleansed)[T.Oud-Noord],0.115371,0.058162,1.983625,0.047298,0.001376,0.229366,True
C(neighbourhood_cleansed)[T.Oud-Oost],0.300409,0.051418,5.842537,0.0,0.199633,0.401186,True
C(neighbourhood_cleansed)[T.Slotervaart],0.053553,0.057954,0.924053,0.355459,-0.060035,0.167141,False
C(neighbourhood_cleansed)[T.Watergraafsmeer],0.166527,0.057689,2.886659,0.003894,0.05346,0.279595,True
C(neighbourhood_cleansed)[T.Westerpark],0.319813,0.051632,6.194076,0.0,0.218616,0.42101,True
C(neighbourhood_cleansed)[T.Zuid],0.361881,0.052342,6.913762,0.0,0.259292,0.464469,True
accommodates,0.131008,0.008831,14.834431,0.0,0.113699,0.148317,True
bedrooms,0.126759,0.011453,11.068064,0.0,0.104312,0.149206,True
review_scores_rating,0.140137,0.046962,2.984069,0.002844,0.048094,0.23218,True
superhost_flag,-0.003637,0.014142,-0.257203,0.797022,-0.031355,0.02408,False
