neighbourhood_cleansed,entire_home,hotel_room,private_room,shared_room
Bijlmer-Centrum,28,7,31,0
Bijlmer-Oost,32,0,6,0
Bos en Lommer,509,0,38,0
Buitenveldert - Zuidas,96,9,20,0
Centrum-Oost,641,3,267,12
Centrum-West,764,9,420,14
De Aker - Nieuw Sloten,44,0,22,1
De Baarsjes - Oud-West,1614,5,188,1
De Pijp - Rivierenbuurt,1059,0,140,0
Gaasperdam - Driemond,33,3,23,1
Geuzenveld - Slotermeer,102,0,37,0
IJburg - Zeeburgereiland,146,0,42,0
Noord-Oost,144,0,44,0
Noord-West,254,0,44,0
Oostelijk Havengebied - Indische Buurt,381,0,55,0
Osdorp,38,0,19,0
Oud-Noord,401,2,80,2
Oud-Oost,573,5,76,0
Slotervaart,160,0,46,0
Watergraafsmeer,259,0,59,0
Westerpark,664,2,70,0
Zuid,619,4,112,0
