month,season,total_days,available_days,unique_listings,availability_rate,occupancy_rate,median_min_nights,mean_min_nights,pct_longstay
2025-09,Autumn,209600,32002,10480,0.1527,0.8473,3.0,4.333,0.015
2025-10,Autumn,324880,70743,10480,0.2178,0.7822,3.0,4.416,0.017
2025-11,Autumn,314400,92943,10480,0.2956,0.7044,3.0,4.413,0.017
2025-12,Winter,324880,95646,10480,0.2944,0.7056,3.0,4.402,0.016
2026-01,Winter,324880,98897,10480,0.3044,0.6956,3.0,4.408,0.016
2026-02,Winter,293440,92499,10480,0.3152,0.6848,3.0,4.404,0.016
2026-03,Spring,324880,91839,10480,0.2827,0.7173,3.0,4.381,0.016
2026-04,Spring,314400,80717,10480,0.2567,0.7433,3.0,4.381,0.015
2026-05,Spring,324880,88595,10480,0.2727,0.7273,3.0,4.354,0.015
2026-06,Summer,314400,72984,10480,0.2321,0.7679,3.0,4.343,0.015
2026-07,Summer,324880,71890,10480,0.2213,0.7787,3.0,4.336,0.015
2026-08,Summer,324880,72879,10480,0.2243,0.7757,3.0,4.331,0.015
2026-09,Autumn,104800,24034,10480,0.2293,0.7707,3.0,4.322,0.014
