id,neighbourhood_cleansed,room_type,property_type_bucket,price_numeric,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,host_segment,host_response_rate
3176,Prenzlauer Berg Südwest,entire_home,apartment,105.0,150,4.63,4.52,4.7,solo,1.0
20858,Prenzlauer Berg Südwest,entire_home,apartment,202.0,140,4.48,4.65,4.54,solo,1.0
23834,Tempelhofer Vorstadt,entire_home,apartment,65.0,98,4.37,4.51,4.59,solo,
26543,Helmholtzplatz,entire_home,apartment,260.0,201,4.66,4.55,4.74,solo,1.0
37836,südliche Luisenstadt,private_room,apartment,,207,4.53,4.41,4.8,multi,1.0
68448,Prenzlauer Berg Nord,entire_home,apartment,137.0,441,4.64,4.67,4.77,professional,1.0
135097,Schöneberg-Nord,entire_home,apartment,165.0,306,4.45,4.43,4.74,solo,
145249,Frankfurter Allee Nord,private_room,apartment,,188,4.67,4.68,4.74,solo,
174576,Alexanderplatz,entire_home,apartment,,40,4.66,4.78,4.69,multi,
174579,Alexanderplatz,entire_home,apartment,,79,4.66,4.91,4.68,multi,
186851,Schöneberg-Nord,entire_home,apartment,45.0,58,4.66,4.83,4.81,solo,
194374,Karlshorst,entire_home,house,118.0,66,4.15,4.25,4.51,professional,1.0
198239,Südliche Friedrichstadt,private_room,apartment,110.0,105,4.6,4.77,4.81,solo,1.0
214518,Otto-Suhr-Allee,private_room,apartment,44.0,99,4.54,4.41,4.76,solo,1.0
229348,Moabit Ost,entire_home,apartment,106.0,178,4.63,4.67,4.89,multi,1.0
229363,Moabit Ost,entire_home,apartment,106.0,129,4.5,4.54,4.87,multi,1.0
243063,Alexanderplatz,entire_home,apartment,,453,4.67,4.75,4.67,multi,1.0
243238,Johannisthal,entire_home,apartment,77.0,277,4.62,4.74,4.8,solo,1.0
245744,Regierungsviertel,entire_home,apartment,276.0,195,4.55,4.57,4.53,solo,0.8
245827,Regierungsviertel,entire_home,apartment,140.0,119,4.53,4.63,4.57,solo,
250253,Otto-Suhr-Allee,entire_home,apartment,127.0,108,4.44,4.56,4.6,multi,1.0
250707,Otto-Suhr-Allee,entire_home,apartment,111.0,51,4.5,4.54,4.82,multi,1.0
250729,Friedenau,entire_home,apartment,112.0,55,4.53,4.6,4.64,multi,1.0
250753,Tiergarten Süd,entire_home,apartment,127.0,99,4.64,4.59,4.52,multi,1.0
250871,Schöneberg-Süd,entire_home,apartment,82.0,47,4.55,4.32,4.96,solo,1.0
251423,Brunnenstr. Nord,entire_home,apartment,127.0,50,4.56,4.52,4.8,professional,1.0
252967,Frankfurter Allee Süd FK,private_room,apartment,,40,4.56,4.7,4.68,multi,
252993,Frankfurter Allee Süd FK,private_room,apartment,,174,4.6,4.75,4.71,multi,
254788,Südliche Friedrichstadt,entire_home,apartment,55.0,108,4.34,4.44,4.79,multi,1.0
255557,Frankfurter Allee Süd FK,entire_home,apartment,81.0,398,4.66,4.67,4.83,solo,1.0
255722,Tempelhofer Vorstadt,entire_home,apartment,68.0,256,4.59,4.64,4.94,solo,1.0
265354,Karl-Marx-Allee-Süd,private_room,hotel,148.0,227,4.43,4.27,4.64,professional,1.0
265394,Karl-Marx-Allee-Süd,private_room,hotel,112.0,306,4.27,4.17,4.59,professional,1.0
265402,Karl-Marx-Allee-Süd,shared_room,hotel,18.0,208,4.36,4.26,4.51,professional,1.0
265408,Karl-Marx-Allee-Süd,shared_room,hotel,20.0,77,4.3,4.22,4.53,professional,1.0
320305,Karl-Marx-Allee-Süd,private_room,apartment,,91,4.64,4.64,4.87,solo,
321378,Brunnenstr. Süd,entire_home,apartment,161.0,292,4.58,4.54,4.66,multi,0.9
322463,Prenzlauer Berg Nord,entire_home,apartment,140.0,503,4.64,4.71,4.81,professional,1.0
322520,Prenzlauer Berg Nord,entire_home,apartment,146.0,506,4.66,4.79,4.78,professional,1.0
323243,Neuköllner Mitte/Zentrum,private_room,apartment,,168,4.5,4.47,4.63,professional,1.0
323255,Neuköllner Mitte/Zentrum,private_room,apartment,,280,4.39,4.23,4.65,professional,1.0
323259,Neuköllner Mitte/Zentrum,private_room,apartment,62.0,322,4.37,4.28,4.57,professional,1.0
341910,Südliche Friedrichstadt,entire_home,apartment,85.0,490,4.5,4.68,4.61,solo,1.0
355494,Blankenburg/Heinersdorf/Märchenland,entire_home,apartment,59.0,174,4.45,4.57,4.73,solo,1.0
519671,Prenzlauer Berg Nordwest,entire_home,apartment,,51,4.44,4.48,4.34,solo,1.0
578821,Schöneberg-Nord,entire_home,apartment,31.0,83,4.51,4.68,4.87,solo,1.0
583916,Rudow,entire_home,apartment,60.0,80,4.52,4.72,4.66,multi,1.0
590200,Rudow,entire_home,apartment,65.0,70,4.63,4.8,4.7,multi,1.0
594032,Halensee,entire_home,apartment,112.0,131,4.63,4.61,4.77,multi,1.0
681132,Moabit Ost,entire_home,apartment,57.0,149,4.57,4.5,4.9,multi,1.0
687582,Südliche Friedrichstadt,entire_home,apartment,96.0,158,4.61,4.77,4.79,solo,1.0
714312,Gropiusstadt,entire_home,apartment,40.0,241,4.65,4.83,4.86,solo,1.0
744264,Tempelhofer Vorstadt,entire_home,apartment,112.0,430,4.58,4.75,4.64,multi,1.0
752358,Rixdorf,entire_home,apartment,,79,4.23,3.89,4.53,solo,1.0
817454,Helmholtzplatz,entire_home,apartment,128.0,273,4.55,4.54,4.79,multi,1.0
829241,Prenzlauer Berg Süd,entire_home,apartment,109.0,70,4.63,4.61,4.87,solo,1.0
849431,Rixdorf,entire_home,apartment,,198,4.59,4.79,4.82,multi,1.0
863534,Regierungsviertel,entire_home,apartment,117.0,54,4.48,4.63,4.59,professional,1.0
965074,Altglienicke,private_room,house,63.0,54,4.65,4.89,4.83,multi,1.0
969200,Prenzlauer Berg Nord,entire_home,apartment,139.0,464,4.61,4.65,4.77,professional,1.0
1111145,Brunnenstr. Süd,entire_home,apartment,208.0,197,4.53,4.53,4.73,professional,1.0
1130337,Ost 1,entire_home,apartment,65.0,277,4.37,3.94,4.87,solo,0.33
1234638,Frankfurter Allee Nord,entire_home,apartment,169.0,144,4.39,4.41,4.41,multi,0.8
1236282,Reuterstraße,private_room,apartment,,210,4.61,4.25,4.77,multi,1.0
1273287,Neue Kantstraße,entire_home,apartment,,104,4.55,4.6,4.9,solo,
1273930,Brunnenstr. Süd,entire_home,apartment,208.0,107,4.62,4.68,4.87,professional,1.0
1273941,Brunnenstr. Süd,entire_home,apartment,260.0,92,4.65,4.71,4.87,professional,1.0
