month,total_days,available_days,unique_listings,availability_rate,occupancy_rate
2025-09-01,100921,22535.0,14274,0.2233,0.7767
2025-10-01,442494,140413.0,14274,0.3173,0.6827
2025-11-01,428220,182038.0,14274,0.4251,0.5749
2025-12-01,442494,196751.0,14274,0.4446,0.5554
2026-01-01,442494,201731.0,14274,0.4559,0.5441
2026-02-01,399672,186559.0,14274,0.4668,0.5332
2026-03-01,442494,200854.0,14274,0.4539,0.5461
2026-04-01,428220,180095.0,14274,0.4206,0.5794
2026-05-01,442494,185735.0,14274,0.4197,0.5803
2026-06-01,428220,172378.0,14274,0.4025,0.5974999999999999
2026-07-01,442494,157126.0,14274,0.3551,0.6449
2026-08-01,442494,158607.0,14274,0.3584,0.6416
2026-09-01,327300,112343.0,14274,0.3432,0.6568
