month,review_count,active_listings,reviews_per_active_listing
2009-06-01,1,1,1.0
2010-02-01,1,1,1.0
2010-06-01,3,2,1.5
2010-07-01,4,3,1.33
2010-08-01,5,4,1.25
2010-09-01,11,5,2.2
2010-10-01,9,7,1.29
2010-11-01,10,7,1.43
2010-12-01,6,5,1.2
2011-01-01,11,7,1.57
2011-02-01,7,6,1.17
2011-03-01,10,7,1.43
2011-04-01,13,10,1.3
2011-05-01,15,10,1.5
2011-06-01,20,14,1.43
2011-07-01,22,11,2.0
2011-08-01,13,7,1.86
2011-09-01,26,17,1.53
2011-10-01,31,19,1.63
2011-11-01,23,16,1.44
2011-12-01,22,14,1.57
2012-01-01,28,22,1.27
2012-02-01,27,18,1.5
2012-03-01,29,19,1.53
2012-04-01,56,30,1.87
2012-05-01,75,40,1.88
2012-06-01,71,41,1.73
2012-07-01,98,58,1.69
2012-08-01,91,60,1.52
2012-09-01,116,67,1.73
2012-10-01,121,63,1.92
2012-11-01,86,53,1.62
2012-12-01,93,65,1.43
2013-01-01,86,65,1.32
2013-02-01,63,45,1.4
2013-03-01,107,60,1.78
2013-04-01,149,84,1.77
2013-05-01,211,97,2.18
2013-06-01,184,92,2.0
2013-07-01,257,125,2.06
2013-08-01,270,123,2.2
2013-09-01,258,126,2.05
2013-10-01,273,131,2.08
2013-11-01,208,108,1.93
2013-12-01,192,92,2.09
2014-01-01,218,127,1.72
2014-02-01,183,98,1.87
2014-03-01,257,128,2.01
2014-04-01,353,175,2.02
2014-05-01,439,199,2.21
2014-06-01,479,217,2.21
2014-07-01,555,250,2.22
2014-08-01,561,275,2.04
2014-09-01,677,285,2.38
2014-10-01,674,291,2.32
2014-11-01,557,247,2.26
2014-12-01,523,245,2.13
2015-01-01,534,301,1.77
2015-02-01,495,226,2.19
2015-03-01,658,283,2.33
2015-04-01,784,343,2.29
2015-05-01,1042,422,2.47
2015-06-01,1156,457,2.53
2015-07-01,1209,509,2.38
2015-08-01,1266,539,2.35
2015-09-01,1431,567,2.52
2015-10-01,1356,540,2.51
2015-11-01,1006,441,2.28
2015-12-01,973,443,2.2
2016-01-01,1112,579,1.92
2016-02-01,1090,451,2.42
2016-03-01,1330,583,2.28
2016-04-01,1498,616,2.43
2016-05-01,1797,674,2.67
2016-06-01,1666,602,2.77
2016-07-01,1947,704,2.77
2016-08-01,1891,756,2.5
2016-09-01,2331,779,2.99
2016-10-01,1969,697,2.82
2016-11-01,1581,580,2.73
2016-12-01,1501,585,2.57
2017-01-01,1685,681,2.47
2017-02-01,1533,602,2.55
2017-03-01,1892,698,2.71
2017-04-01,2411,862,2.8
2017-05-01,2751,953,2.89
2017-06-01,2767,963,2.87
2017-07-01,3206,1092,2.94
2017-08-01,2875,1109,2.59
2017-09-01,3291,1138,2.89
2017-10-01,3015,1045,2.89
2017-11-01,2029,834,2.43
2017-12-01,1969,842,2.34
2018-01-01,2196,960,2.29
2018-02-01,2154,880,2.45
2018-03-01,2623,977,2.68
2018-04-01,3116,1149,2.71
2018-05-01,3720,1266,2.94
2018-06-01,3715,1231,3.02
2018-07-01,4208,1421,2.96
2018-08-01,4277,1453,2.94
2018-09-01,4974,1485,3.35
2018-10-01,4579,1385,3.31
2018-11-01,3670,1255,2.92
2018-12-01,3446,1284,2.68
2019-01-01,3464,1370,2.53
2019-02-01,3437,1268,2.71
2019-03-01,4223,1421,2.97
2019-04-01,4869,1602,3.04
2019-05-01,5373,1607,3.34
2019-06-01,5637,1760,3.2
2019-07-01,5352,1799,2.97
2019-08-01,5358,1796,2.98
2019-09-01,6296,1895,3.32
2019-10-01,5681,1787,3.18
2019-11-01,4616,1565,2.95
2019-12-01,4363,1571,2.78
2020-01-01,4335,1722,2.52
2020-02-01,4422,1578,2.8
2020-03-01,2724,1363,2.0
2020-04-01,309,208,1.49
2020-05-01,653,354,1.84
2020-06-01,1630,743,2.19
2020-07-01,2877,1136,2.53
2020-08-01,4009,1439,2.79
2020-09-01,3102,1188,2.61
2020-10-01,2523,1062,2.38
2020-11-01,1147,616,1.86
2020-12-01,877,465,1.89
2021-01-01,766,372,2.06
2021-02-01,828,397,2.09
2021-03-01,1220,533,2.29
2021-04-01,1235,587,2.1
2021-05-01,1939,769,2.52
2021-06-01,2628,1002,2.62
2021-07-01,4258,1462,2.91
2021-08-01,5967,1821,3.28
2021-09-01,5278,1708,3.09
2021-10-01,5861,1790,3.27
2021-11-01,5391,1631,3.31
2021-12-01,3934,1429,2.75
2022-01-01,3478,1364,2.55
2022-02-01,3511,1275,2.75
2022-03-01,4746,1559,3.04
2022-04-01,6418,1984,3.23
2022-05-01,7340,2052,3.58
2022-06-01,7571,2178,3.48
2022-07-01,8399,2432,3.45
2022-08-01,7910,2441,3.24
2022-09-01,8204,2431,3.37
2022-10-01,7801,2361,3.3
2022-11-01,6491,2076,3.13
2022-12-01,5443,1943,2.8
2023-01-01,5477,1956,2.8
2023-02-01,5738,1979,2.9
2023-03-01,6551,2066,3.17
2023-04-01,7791,2475,3.15
2023-05-01,8949,2679,3.34
2023-06-01,9174,2648,3.46
2023-07-01,9786,2947,3.32
2023-08-01,8722,2801,3.11
2023-09-01,9941,2938,3.38
2023-10-01,9597,2873,3.34
2023-11-01,7069,2370,2.98
2023-12-01,6845,2449,2.8
2024-01-01,6065,2294,2.64
2024-02-01,6647,2398,2.77
2024-03-01,8317,2696,3.08
2024-04-01,9695,3084,3.14
2024-05-01,11181,3407,3.28
2024-06-01,12955,3665,3.53
2024-07-01,12694,3781,3.36
2024-08-01,11426,3591,3.18
2024-09-01,13155,3868,3.4
2024-10-01,11705,3640,3.22
2024-11-01,8894,3047,2.92
2024-12-01,8765,3093,2.83
2025-01-01,7531,2883,2.61
2025-02-01,8630,3036,2.84
2025-03-01,10077,3268,3.08
2025-04-01,11747,3812,3.08
2025-05-01,13378,4150,3.22
2025-06-01,14482,4395,3.3
2025-07-01,14585,4384,3.33
2025-08-01,13579,4401,3.09
2025-09-01,7816,3651,2.14
