neighbourhood,listing_count,unique_hosts,listings_per_km2
Helmholtzplatz,258,212,352.0412416928368
Brunnenstr. Süd,570,380,316.45885003136294
Reuterstraße,424,367,289.1570828965555
Prenzlauer Berg Südwest,398,272,283.594606755646
südliche Luisenstadt,387,289,259.00961283226445
Frankfurter Allee Nord,301,274,228.8990778941034
Prenzlauer Berg Süd,321,248,188.65616071276514
Frankfurter Allee Süd FK,780,546,185.9027101041536
nördliche Luisenstadt,241,178,179.93833931834118
Neuköllner Mitte/Zentrum,355,278,178.67602598344982
Prenzlauer Berg Nordwest,307,243,162.00829383281314
Alexanderplatz,950,523,148.65820683883743
Rixdorf,314,277,147.73084272707914
Tempelhofer Vorstadt,689,520,143.54625845444465
Kurfürstendamm,176,87,125.23741507773961
Prenzlauer Berg Nord,209,158,122.16297963476404
Kantstraße,136,94,118.46912569885578
Schöneberg-Nord,318,213,108.80200996862719
Karl-Marx-Allee-Süd,257,153,104.08574809871384
Düsseldorfer Straße,231,128,98.40424382397215
Schillerpromenade,281,243,92.8430313287932
Südliche Friedrichstadt,271,159,89.89838520738117
Wedding Zentrum,227,181,88.920771609971
Neue Kantstraße,129,98,84.56714168347726
Karl-Marx-Allee-Nord,182,150,81.85438859071287
Schöneberg-Süd,253,207,73.62948741068654
Brunnenstr. Nord,224,119,64.45054648131142
Halensee,80,61,63.53392909200695
Osloer Straße,152,129,62.72205198582631
Otto-Suhr-Allee,176,111,62.12046856337269
Moabit Ost,249,185,62.06063273329821
Moabit West,260,193,58.42850054309726
Volkspark Wilmersdorf,118,84,57.47065657243652
Regierungsviertel,148,98,53.454478382585
Alt  Treptow,109,96,45.88051509568123
Neu Lichtenberg,116,93,43.33917368022714
Schloß Charlottenburg,92,64,38.926217075723955
Prenzlauer Berg Ost,144,130,37.45482641858416
Weißensee,156,117,35.910255322054944
Pankow Süd,109,97,35.05038888025541
Barstraße,47,39,34.22890363819846
Tiergarten Süd,159,106,29.986177115830685
Schloßstr.,58,47,29.08431779593809
Mierendorffplatz,50,43,25.78005241984007
Parkviertel,163,125,22.32034885470594
Wiesbadener Straße,31,18,21.944692564060446
Pankow Zentrum,85,72,21.04401487180101
Friedenau,95,76,20.156023642269865
Grunewald,84,48,16.46581506487596
Rummelsburger Bucht,40,35,16.27528854570459
Albrechtstr.,79,66,15.903016682526227
Frankfurter Allee Süd,17,13,15.719838061489789
Schmargendorf,43,21,15.487851613686386
Plänterwald,46,40,14.95257596227191
Tempelhof,199,132,14.116244453352719
Westend,83,62,13.65835125769858
Ost 1,30,23,12.664475564929102
MV 2,18,4,10.75930323724628
Friedrichsfelde Nord,30,20,10.53425766558055
Altstadt-Kietz,9,6,10.510161956413894
Fennpfuhl,23,21,10.465469758378756
Karlshorst,66,38,9.75974122697288
Alt-Lichtenberg,60,52,9.190853875038469
Niederschöneweide,31,24,8.616738984161563
Oberschöneweide,67,28,8.22259791703297
West 4,24,21,8.016807364220401
Baumschulenweg,38,34,7.66554449621785
Ost 2,40,27,7.4174629282536975
Köllnische Heide,25,19,7.34006627120153
Adlershof,43,26,6.872969474526244
Friedrichsfelde Süd,15,14,6.611826578891097
