neighbourhood_cleansed,room_type,listing_count,median_price,mean_price,ci_lower,ci_upper
Adlershof,entire_home,22,95.0,105.0,86.0,123.0
Adlershof,private_room,8,96.0,94.0,50.0,138.0
Albrechtstr.,entire_home,45,121.0,156.0,100.0,212.0
Albrechtstr.,private_room,11,42.0,47.0,33.0,61.0
Alexanderplatz,entire_home,532,145.0,181.0,150.0,211.0
Alexanderplatz,hotel_room,23,40000.0,23576.0,13554.0,33598.0
Alexanderplatz,private_room,134,142.0,196.0,159.0,233.0
Alexanderplatz,shared_room,36,38.0,112.0,-16.0,240.0
Alt  Treptow,entire_home,36,101.0,133.0,102.0,164.0
Alt  Treptow,private_room,14,66.0,65.0,49.0,81.0
Alt-Hohenschönhausen Süd,entire_home,10,126.0,132.0,82.0,181.0
Alt-Lichtenberg,entire_home,21,120.0,131.0,97.0,164.0
Alt-Lichtenberg,private_room,11,71.0,106.0,59.0,154.0
Altglienicke,entire_home,19,65.0,86.0,56.0,115.0
Barstraße,entire_home,21,112.0,132.0,98.0,166.0
Barstraße,private_room,12,97.0,88.0,74.0,103.0
Baumschulenweg,entire_home,10,104.0,132.0,67.0,197.0
Baumschulenweg,private_room,10,56.0,60.0,35.0,86.0
Biesdorf,entire_home,18,94.0,112.0,80.0,145.0
Biesdorf,private_room,8,56.0,56.0,32.0,80.0
Blankenburg/Heinersdorf/Märchenland,entire_home,16,74.0,89.0,64.0,114.0
Blankenburg/Heinersdorf/Märchenland,private_room,11,68.0,65.0,48.0,82.0
Blankenfelde/Niederschönhausen,entire_home,30,110.0,450.0,-223.0,1124.0
Blankenfelde/Niederschönhausen,private_room,11,48.0,67.0,16.0,117.0
Bohnsdorf,entire_home,11,85.0,981.0,-1028.0,2991.0
Bohnsdorf,private_room,13,45.0,98.0,36.0,161.0
Britz,entire_home,20,130.0,141.0,99.0,183.0
Britz,private_room,9,57.0,61.0,38.0,84.0
Brunnenstr. Nord,entire_home,135,157.0,200.0,168.0,231.0
Brunnenstr. Nord,private_room,26,84.0,141.0,94.0,188.0
Brunnenstr. Süd,entire_home,355,155.0,190.0,175.0,205.0
Brunnenstr. Süd,private_room,41,72.0,101.0,57.0,144.0
Brunsbütteler Damm,entire_home,7,95.0,110.0,64.0,155.0
Buch,entire_home,8,69.0,81.0,56.0,106.0
Buchholz,entire_home,20,83.0,111.0,76.0,145.0
Buckow,entire_home,16,99.0,97.0,85.0,109.0
Drakestr.,entire_home,32,114.0,126.0,104.0,148.0
Drakestr.,private_room,17,59.0,68.0,55.0,80.0
Düsseldorfer Straße,entire_home,108,114.0,137.0,123.0,151.0
Düsseldorfer Straße,private_room,61,96.0,120.0,98.0,143.0
Falkenhagener Feld,private_room,7,52.0,62.0,36.0,89.0
Fennpfuhl,private_room,7,54.0,52.0,42.0,62.0
Frankfurter Allee Nord,entire_home,125,118.0,143.0,121.0,165.0
Frankfurter Allee Nord,private_room,30,67.0,66.0,56.0,76.0
Frankfurter Allee Süd FK,entire_home,357,126.0,157.0,143.0,171.0
Frankfurter Allee Süd FK,private_room,120,66.0,72.0,62.0,83.0
Friedenau,entire_home,41,119.0,126.0,108.0,144.0
Friedenau,private_room,14,48.0,64.0,40.0,88.0
Friedrichsfelde Nord,entire_home,16,148.0,154.0,109.0,198.0
Friedrichsfelde Nord,private_room,7,61.0,57.0,38.0,75.0
Friedrichshagen,entire_home,20,130.0,144.0,111.0,177.0
Friedrichshagen,private_room,13,111.0,120.0,91.0,149.0
Gatow / Kladow,entire_home,13,99.0,106.0,78.0,134.0
Grunewald,entire_home,49,115.0,129.0,110.0,147.0
Grunewald,private_room,15,81.0,88.0,71.0,105.0
Grünau,entire_home,13,100.0,114.0,84.0,145.0
Hakenfelde,entire_home,7,111.0,127.0,58.0,196.0
Halensee,entire_home,49,84.0,115.0,78.0,152.0
Halensee,private_room,10,74.0,76.0,54.0,98.0
Heerstrasse,entire_home,34,87.0,123.0,89.0,157.0
Heerstraße Nord,entire_home,10,74.0,140.0,-6.0,286.0
Heerstraße Nord,private_room,8,51.0,52.0,35.0,69.0
Helmholtzplatz,entire_home,132,124.0,146.0,134.0,158.0
Helmholtzplatz,private_room,25,72.0,87.0,69.0,105.0
Johannisthal,entire_home,15,70.0,131.0,39.0,223.0
Johannisthal,private_room,10,58.0,62.0,48.0,77.0
Kantstraße,entire_home,61,129.0,146.0,122.0,171.0
Kantstraße,private_room,23,89.0,93.0,76.0,111.0
Karl-Marx-Allee-Nord,entire_home,73,118.0,137.0,121.0,153.0
Karl-Marx-Allee-Nord,private_room,31,56.0,69.0,48.0,90.0
Karl-Marx-Allee-Süd,entire_home,96,120.0,134.0,121.0,146.0
Karl-Marx-Allee-Süd,private_room,70,95.0,101.0,90.0,112.0
Karl-Marx-Allee-Süd,shared_room,17,25.0,56.0,27.0,84.0
Karlshorst,entire_home,21,118.0,122.0,100.0,145.0
Karlshorst,hotel_room,7,164.0,170.0,136.0,204.0
Karlshorst,private_room,22,145.0,124.0,91.0,156.0
Kaulsdorf,entire_home,12,98.0,102.0,68.0,136.0
Kurfürstendamm,entire_home,95,143.0,161.0,144.0,177.0
Kurfürstendamm,private_room,40,96.0,115.0,95.0,135.0
Köllnische Heide,entire_home,12,96.0,102.0,89.0,114.0
Köpenick-Nord,entire_home,8,99.0,105.0,58.0,152.0
Köpenick-Süd,entire_home,8,79.0,75.0,53.0,97.0
Lichtenrade,entire_home,16,83.0,98.0,72.0,124.0
MV 2,private_room,17,91.0,83.0,68.0,99.0
Mahlsdorf,entire_home,16,106.0,113.0,85.0,141.0
Mariendorf,entire_home,24,122.0,137.0,107.0,167.0
