,coefficient,std_err,t_stat,p_value,ci_low,ci_high,significant
Intercept,4.072277,0.144455,28.190681,0.0,3.789151,4.355403,True
C(room_type)[T.hotel_room],0.667158,0.129425,5.154776,0.0,0.413489,0.920827,True
C(room_type)[T.private_room],-0.334489,0.014452,-23.145482,0.0,-0.362814,-0.306165,True
C(room_type)[T.shared_room],-1.17824,0.091805,-12.834118,0.0,-1.358175,-0.998305,True
C(neighbourhood_cleansed)[T.Albrechtstr.],-0.119023,0.114212,-1.042122,0.297355,-0.342876,0.104829,False
C(neighbourhood_cleansed)[T.Alexanderplatz],0.367406,0.102329,3.590434,0.00033,0.166845,0.567968,True
C(neighbourhood_cleansed)[T.Allende-Viertel],-0.69446,0.125709,-5.524334,0.0,-0.940846,-0.448074,True
C(neighbourhood_cleansed)[T.Alt  Treptow],0.017729,0.122093,0.145207,0.884547,-0.221569,0.257026,False
C(neighbourhood_cleansed)[T.Alt-Hohenschönhausen Nord],0.011384,0.28042,0.040595,0.967619,-0.53823,0.560997,False
C(neighbourhood_cleansed)[T.Alt-Hohenschönhausen Süd],0.001472,0.229059,0.006428,0.994871,-0.447475,0.45042,False
C(neighbourhood_cleansed)[T.Alt-Lichtenberg],0.089011,0.137913,0.645411,0.518661,-0.181294,0.359316,False
C(neighbourhood_cleansed)[T.Altglienicke],-0.255231,0.129909,-1.964682,0.049451,-0.509849,-0.000613,True
C(neighbourhood_cleansed)[T.Altstadt-Kietz],0.064117,0.26461,0.242306,0.808543,-0.454509,0.582743,False
C(neighbourhood_cleansed)[T.Barstraße],0.133107,0.129978,1.024074,0.305801,-0.121645,0.38786,False
C(neighbourhood_cleansed)[T.Baumschulenweg],-0.1513,0.137763,-1.098265,0.272089,-0.421309,0.11871,False
C(neighbourhood_cleansed)[T.Biesdorf],-0.224104,0.129074,-1.736247,0.08252,-0.477083,0.028876,False
C(neighbourhood_cleansed)[T.Blankenburg/Heinersdorf/Märchenland],-0.175071,0.126392,-1.38514,0.16601,-0.422796,0.072653,False
C(neighbourhood_cleansed)[T.Blankenfelde/Niederschönhausen],0.111339,0.174441,0.638259,0.523305,-0.23056,0.453237,False
C(neighbourhood_cleansed)[T.Bohnsdorf],0.041254,0.311636,0.132379,0.894684,-0.569542,0.65205,False
C(neighbourhood_cleansed)[T.Britz],0.024109,0.125205,0.192554,0.847308,-0.221288,0.269506,False
C(neighbourhood_cleansed)[T.Brunnenstr. Nord],0.420616,0.10997,3.824836,0.000131,0.205079,0.636153,True
C(neighbourhood_cleansed)[T.Brunnenstr. Süd],0.361023,0.102941,3.50709,0.000453,0.159263,0.562784,True
C(neighbourhood_cleansed)[T.Brunsbütteler Damm],-0.200646,0.145059,-1.383201,0.166603,-0.484956,0.083665,False
C(neighbourhood_cleansed)[T.Buch],-0.204666,0.170367,-1.201327,0.229624,-0.538579,0.129247,False
C(neighbourhood_cleansed)[T.Buchholz],-0.097252,0.157759,-0.616457,0.537593,-0.406454,0.211951,False
C(neighbourhood_cleansed)[T.Buckow],0.080964,0.140916,0.574555,0.565592,-0.195227,0.357156,False
