month,season,total_days,available_days,unique_listings,availability_rate,occupancy_rate,median_min_nights,mean_min_nights,pct_longstay
2025-09-01,Autumn,100921,22535.0,14274,0.2233,0.7767,5.0,39.67,40.7
2025-10-01,Autumn,442494,140413.0,14274,0.3173,0.6827,5.0,40.01,40.96
2025-11-01,Autumn,428220,182038.0,14274,0.4251,0.5749,5.0,40.06,41.02
2025-12-01,Winter,442494,196751.0,14274,0.4446,0.5554,5.0,40.11,41.03
2026-01-01,Winter,442494,201731.0,14274,0.4559,0.5441,5.0,40.15,41.03
2026-02-01,Winter,399672,186559.0,14274,0.4668,0.5332,5.0,40.09,41.03
2026-03-01,Spring,442494,200854.0,14274,0.4539,0.5461,5.0,40.07,41.03
2026-04-01,Spring,428220,180095.0,14274,0.4206,0.5794,5.0,40.1,41.02
2026-05-01,Spring,442494,185735.0,14274,0.4197,0.5803,5.0,40.18,41.02
2026-06-01,Summer,428220,172378.0,14274,0.4025,0.5974999999999999,5.0,40.11,41.03
2026-07-01,Summer,442494,157126.0,14274,0.3551,0.6449,5.0,40.08,41.02
2026-08-01,Summer,442494,158607.0,14274,0.3584,0.6416,5.0,40.06,40.99
2026-09-01,Autumn,327300,112343.0,14274,0.3432,0.6568,5.0,40.1,41.02
