id,neighbourhood_cleansed,room_type,property_type_bucket,price_numeric,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,host_segment,host_response_rate
41445,Barnet,entire_home,apartment,213.0,25,4.5,4.24,4.56,Single (1),
41509,Hounslow,private_room,apartment,,71,4.5,4.29,4.8,Single (1),
67934,Barnet,private_room,house,40.0,25,4.54,4.84,4.68,Small (2–5),
98541,Haringey,entire_home,apartment,100.0,39,4.58,4.55,4.79,Single (1),0.5
138800,Tower Hamlets,private_room,house,76.0,60,4.55,4.49,4.86,Single (1),
174635,Kensington and Chelsea,entire_home,house,224.0,47,4.24,4.0,4.47,Single (1),
200713,Croydon,private_room,house,23.0,77,4.5,4.44,4.84,Small (2–5),1.0
227502,Hackney,entire_home,apartment,151.0,147,4.41,4.63,4.7,Small (2–5),1.0
229684,Lewisham,private_room,house,,22,4.41,4.33,4.7,Small (2–5),
246271,Tower Hamlets,entire_home,apartment,100.0,53,4.52,4.47,4.66,Small (2–5),1.0
263822,Newham,entire_home,house,130.0,45,4.24,3.96,4.8,Single (1),1.0
264777,Lewisham,entire_home,apartment,116.0,25,4.52,4.56,4.12,Professional (6–20),1.0
264778,Lewisham,entire_home,apartment,174.0,60,4.5,4.45,4.52,Professional (6–20),1.0
264782,Lewisham,entire_home,apartment,142.0,21,4.57,4.33,4.76,Professional (6–20),1.0
273941,Lewisham,entire_home,other,50.0,44,4.55,4.75,4.77,Small (2–5),1.0
274740,Hammersmith and Fulham,entire_home,apartment,248.0,61,4.54,4.38,4.79,Single (1),1.0
275140,Lewisham,entire_home,apartment,112.0,111,4.42,4.45,4.49,Small (2–5),1.0
294247,Hammersmith and Fulham,private_room,apartment,118.0,235,4.46,4.52,4.76,Single (1),
306677,Southwark,entire_home,apartment,,216,4.56,4.63,4.78,Professional (6–20),
308561,Hackney,entire_home,apartment,,186,4.49,4.36,4.75,Small (2–5),1.0
322606,Wandsworth,private_room,house,70.0,219,4.33,4.03,4.59,Single (1),0.7
331058,Ealing,private_room,apartment,58.0,163,4.55,4.76,4.73,Small (2–5),1.0
338198,Barnet,entire_home,apartment,96.0,53,4.55,4.51,4.77,Single (1),1.0
340912,Camden,entire_home,apartment,201.0,68,4.42,4.39,4.65,Small (2–5),1.0
341779,Croydon,private_room,house,26.0,67,4.58,4.61,4.85,Small (2–5),1.0
369383,Camden,entire_home,apartment,192.0,192,4.48,4.65,4.77,Small (2–5),1.0
384780,Camden,entire_home,apartment,97.0,49,4.41,4.73,4.67,Small (2–5),1.0
417090,Brent,entire_home,apartment,83.0,43,4.07,3.56,4.6,Small (2–5),0.92
422748,Croydon,private_room,house,23.0,69,4.49,4.5,4.66,Small (2–5),1.0
429444,Lambeth,entire_home,apartment,149.0,140,4.44,4.54,4.9,Small (2–5),0.9
438421,Westminster,private_room,apartment,90.0,537,4.58,4.63,4.74,Professional (6–20),0.97
454008,Hammersmith and Fulham,entire_home,apartment,67.0,418,4.47,4.7,4.78,Commercial (21+),1.0
464370,Wandsworth,entire_home,apartment,182.0,38,4.28,4.41,4.35,Small (2–5),1.0
469676,Lambeth,entire_home,apartment,135.0,125,4.54,4.51,4.8,Single (1),1.0
473068,Ealing,entire_home,house,,30,4.17,4.1,4.45,Single (1),
473073,Southwark,private_room,apartment,,110,4.27,4.28,4.63,Single (1),
487430,Merton,private_room,house,63.0,139,4.48,4.33,4.75,Small (2–5),1.0
497373,Southwark,entire_home,apartment,140.0,59,4.58,4.74,4.67,Small (2–5),1.0
501837,Camden,entire_home,apartment,129.0,153,4.51,4.34,4.89,Single (1),1.0
504810,Lambeth,private_room,apartment,,26,4.54,4.19,4.81,Small (2–5),1.0
507124,Wandsworth,entire_home,apartment,130.0,93,4.33,4.11,4.76,Single (1),1.0
507480,Tower Hamlets,private_room,apartment,49.0,161,4.56,4.41,4.68,Professional (6–20),0.9
512992,Ealing,private_room,apartment,,27,4.42,4.67,4.59,Single (1),1.0
513198,Lambeth,entire_home,apartment,145.0,41,4.39,3.61,4.73,Single (1),1.0
521982,Tower Hamlets,entire_home,apartment,,254,4.35,4.14,4.83,Professional (6–20),0.9
527310,Kensington and Chelsea,entire_home,apartment,253.0,67,4.42,4.1,4.79,Single (1),1.0
529558,Camden,entire_home,apartment,,81,4.33,4.46,4.88,Small (2–5),
534506,Hackney,entire_home,apartment,,34,4.29,3.85,4.88,Single (1),
536996,Lambeth,entire_home,apartment,,23,4.57,4.39,4.83,Small (2–5),1.0
537305,Brent,private_room,house,31.0,110,4.44,4.33,4.76,Small (2–5),1.0
542646,Hammersmith and Fulham,entire_home,apartment,173.0,165,4.55,4.81,4.77,Commercial (21+),1.0
542797,Waltham Forest,private_room,apartment,,85,4.53,4.4,4.82,Small (2–5),
550805,Southwark,entire_home,apartment,,35,4.5,4.6,4.77,Single (1),
565770,Hounslow,entire_home,other,37.0,270,4.43,4.4,4.77,Single (1),1.0
569290,Wandsworth,entire_home,apartment,119.0,64,4.14,4.23,4.75,Single (1),1.0
573155,Camden,entire_home,apartment,,303,4.46,4.44,4.91,Single (1),1.0
588959,Kensington and Chelsea,private_room,apartment,,64,4.5,4.75,4.54,Small (2–5),
606382,Camden,entire_home,apartment,116.0,141,4.45,4.1,4.86,Single (1),1.0
619010,Ealing,private_room,house,35.0,175,4.44,4.44,4.71,Small (2–5),0.8
621777,Haringey,private_room,house,42.0,133,4.5,4.73,4.77,Small (2–5),1.0
627123,Camden,entire_home,apartment,89.0,250,4.47,4.42,4.86,Professional (6–20),1.0
632377,Tower Hamlets,entire_home,apartment,115.0,90,4.51,4.2,4.81,Single (1),1.0
632672,Hackney,private_room,apartment,59.0,484,4.34,4.42,4.55,Small (2–5),1.0
635138,Tower Hamlets,private_room,apartment,49.0,145,4.48,4.37,4.71,Professional (6–20),0.9
659628,Lambeth,private_room,apartment,,25,4.28,4.0,4.84,Single (1),
692371,Southwark,private_room,house,,27,4.44,3.96,4.77,Single (1),
720633,Westminster,entire_home,apartment,,328,4.54,4.75,4.72,Commercial (21+),0.9
725370,Westminster,entire_home,house,,306,4.56,4.79,4.75,Commercial (21+),0.9
726882,Hammersmith and Fulham,private_room,apartment,49.0,337,4.56,4.66,4.87,Professional (6–20),1.0
726975,Hackney,entire_home,apartment,152.0,45,4.48,4.36,4.73,Small (2–5),1.0
727626,Hackney,entire_home,apartment,122.0,66,4.38,4.3,4.6,Small (2–5),1.0
751412,Camden,private_room,apartment,61.0,38,4.39,4.54,4.62,Small (2–5),0.91
755127,Kensington and Chelsea,entire_home,apartment,143.0,83,4.55,4.5,4.77,Single (1),1.0
763638,Westminster,private_room,apartment,,158,4.48,4.73,4.6,Commercial (21+),0.9
766496,Southwark,entire_home,apartment,131.0,42,4.55,4.79,4.76,Single (1),1.0
797036,Hackney,entire_home,apartment,67.0,143,4.42,4.29,4.9,Single (1),1.0
801353,Tower Hamlets,entire_home,apartment,121.0,43,4.56,4.31,4.83,Small (2–5),
804885,Camden,entire_home,apartment,198.0,81,4.51,4.37,4.8,Small (2–5),1.0
805005,Islington,entire_home,apartment,127.0,95,4.54,4.63,4.7,Small (2–5),1.0
810126,Ealing,entire_home,apartment,100.0,66,4.51,4.27,4.97,Professional (6–20),1.0
810314,Ealing,entire_home,apartment,99.0,82,4.54,4.24,4.81,Professional (6–20),1.0
817963,Ealing,entire_home,apartment,168.0,28,4.39,4.29,4.85,Professional (6–20),0.93
836442,Ealing,entire_home,apartment,80.0,77,4.54,4.3,4.81,Professional (6–20),1.0
