month,review_count,active_listings,reviews_per_active_listing
2009-12-01,1,1,1.0
2010-08-01,1,1,1.0
2010-09-01,10,5,2.0
2010-10-01,31,10,3.1
2010-11-01,29,8,3.62
2010-12-01,16,9,1.78
2011-01-01,21,8,2.62
2011-02-01,14,5,2.8
2011-03-01,33,15,2.2
2011-04-01,47,18,2.61
2011-05-01,56,18,3.11
2011-06-01,54,18,3.0
2011-07-01,86,33,2.61
2011-08-01,67,32,2.09
2011-09-01,71,39,1.82
2011-10-01,86,37,2.32
2011-11-01,89,37,2.41
2011-12-01,74,36,2.06
2012-01-01,68,42,1.62
2012-02-01,62,36,1.72
2012-03-01,284,65,4.37
2012-04-01,158,79,2.0
2012-05-01,221,101,2.19
2012-06-01,208,102,2.04
2012-07-01,257,144,1.78
2012-08-01,273,163,1.67
2012-09-01,311,157,1.98
2012-10-01,462,207,2.23
2012-11-01,428,204,2.1
2012-12-01,316,169,1.87
2013-01-01,317,175,1.81
2013-02-01,319,161,1.98
2013-03-01,432,215,2.01
2013-04-01,570,263,2.17
2013-05-01,835,332,2.52
2013-06-01,866,356,2.43
2013-07-01,1046,444,2.36
2013-08-01,846,385,2.2
2013-09-01,1039,440,2.36
2013-10-01,1129,456,2.48
2013-11-01,930,406,2.29
2013-12-01,825,405,2.04
2014-01-01,741,413,1.79
2014-02-01,657,328,2.0
2014-03-01,960,436,2.2
2014-04-01,1256,572,2.2
2014-05-01,1492,607,2.46
2014-06-01,1719,702,2.45
2014-07-01,1922,800,2.4
2014-08-01,1910,852,2.24
2014-09-01,2014,840,2.4
2014-10-01,2363,915,2.58
2014-11-01,1953,813,2.4
2014-12-01,1653,773,2.14
2015-01-01,1497,824,1.82
2015-02-01,1434,672,2.13
2015-03-01,1877,809,2.32
2015-04-01,2405,1046,2.3
2015-05-01,3210,1205,2.66
2015-06-01,3470,1320,2.63
2015-07-01,4136,1644,2.52
2015-08-01,3712,1698,2.19
2015-09-01,4272,1770,2.41
2015-10-01,4905,1864,2.63
2015-11-01,3594,1536,2.34
2015-12-01,3236,1522,2.13
2016-01-01,3109,1707,1.82
2016-02-01,3032,1370,2.21
2016-03-01,3640,1616,2.25
2016-04-01,4577,1948,2.35
2016-05-01,5883,2257,2.61
2016-06-01,5889,2353,2.5
2016-07-01,7456,2924,2.55
2016-08-01,6618,2854,2.32
2016-09-01,7134,2798,2.55
2016-10-01,7893,2812,2.81
2016-11-01,6613,2460,2.69
2016-12-01,6328,2672,2.37
2017-01-01,5852,2805,2.09
2017-02-01,5244,2208,2.38
2017-03-01,6697,2655,2.52
2017-04-01,8629,3478,2.48
2017-05-01,9355,3578,2.61
2017-06-01,9253,3617,2.56
2017-07-01,11548,4509,2.56
2017-08-01,8803,3968,2.22
2017-09-01,8836,3706,2.38
2017-10-01,8680,3502,2.48
2017-11-01,7081,2959,2.39
2017-12-01,7140,3289,2.17
2018-01-01,7032,3465,2.03
2018-02-01,6618,2939,2.25
2018-03-01,8305,3335,2.49
