neighbourhood,listing_count,unique_hosts,listings_per_km2
Westminster,11385,4597,529.8369295144958
Kensington and Chelsea,6401,3100,527.9475573257124
Tower Hamlets,7469,4665,377.632262350305
Islington,5036,3507,338.9651338455792
Hackney,6359,4864,333.81318832961784
Camden,6551,3449,300.64159425057073
Hammersmith and Fulham,4157,2689,253.50163034698687
Lambeth,5190,3742,193.579063827722
Southwark,5475,3813,189.6905294931307
City of London,549,266,189.04668854738003
Wandsworth,4965,3638,144.89730237274998
Haringey,2598,1942,87.7750521871075
Lewisham,2680,2054,76.2450712111303
Brent,3019,1878,69.82861357585128
Newham,2522,1722,69.66454750205052
Waltham Forest,1955,1487,50.37598327518773
Greenwich,2100,1512,44.36465297429439
Ealing,2391,1558,43.04508807299803
Merton,1550,1194,41.19487122351339
Barnet,2529,1574,29.15272048778271
Hounslow,1340,951,23.959505416884223
Richmond upon Thames,1290,1034,22.49162499985546
Barking and Dagenham,750,532,20.77059585715032
Croydon,1717,1167,19.85053832879772
Kingston upon Thames,727,542,19.510359783210138
Redbridge,1008,659,17.866070509929514
Harrow,668,465,13.236695262653628
Enfield,938,636,11.410983052303727
Sutton,477,333,10.878540382520818
Bexley,640,458,10.564404102739221
Hillingdon,998,594,8.625495104385639
Bromley,913,691,6.081206765247043
Havering,524,369,4.663927376496434
