neighbourhood_cleansed,listing_count,median_price,mean_price,ci_lower,ci_upper
Barking and Dagenham,545,82.0,109.0,101.0,116.0
Barnet,1731,107.0,139.0,130.0,147.0
Bexley,496,70.0,120.0,98.0,141.0
Brent,2062,107.0,174.0,142.0,206.0
Bromley,673,88.0,129.0,107.0,150.0
Camden,4330,160.0,217.0,204.0,229.0
City of London,436,248.0,354.0,301.0,408.0
Croydon,1186,72.0,102.0,90.0,115.0
Ealing,1610,90.0,140.0,121.0,160.0
Enfield,669,79.0,120.0,101.0,139.0
Greenwich,1335,113.0,154.0,136.0,172.0
Hackney,3175,126.0,161.0,152.0,170.0
Hammersmith and Fulham,2669,144.0,199.0,188.0,210.0
Haringey,1497,99.0,139.0,126.0,152.0
Harrow,463,76.0,109.0,98.0,120.0
Havering,430,83.0,152.0,103.0,202.0
Hillingdon,714,70.0,109.0,95.0,122.0
Hounslow,897,98.0,149.0,124.0,175.0
Islington,2756,141.0,218.0,163.0,272.0
Kensington and Chelsea,4768,225.0,336.0,311.0,362.0
Kingston upon Thames,485,100.0,138.0,127.0,150.0
Lambeth,2821,116.0,346.0,238.0,453.0
Lewisham,1544,94.0,121.0,110.0,133.0
Merton,968,110.0,148.0,140.0,157.0
Newham,1653,118.0,155.0,140.0,170.0
Redbridge,726,78.0,128.0,111.0,145.0
Richmond upon Thames,812,130.0,184.0,171.0,198.0
Southwark,3218,122.0,174.0,160.0,188.0
Sutton,363,73.0,97.0,88.0,106.0
Tower Hamlets,4275,127.0,431.0,-67.0,929.0
Waltham Forest,1201,92.0,117.0,111.0,123.0
Wandsworth,3012,140.0,198.0,184.0,213.0
Westminster,8443,220.0,342.0,328.0,356.0
