id,neighbourhood_cleansed,room_type,property_type_bucket,price_numeric,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,host_segment,host_response_rate
229664,Embajadores,entire_home,apartment,58.0,563,4.29,4.18,4.63,multi,0.86
281224,Palacio,entire_home,apartment,148.0,138,4.52,4.78,4.76,solo,1.0
289555,Sol,private_room,apartment,139.0,191,4.53,4.46,4.69,professional,0.99
404569,Universidad,entire_home,apartment,117.0,109,4.41,4.5,4.52,professional,0.86
696928,Lista,private_room,apartment,,109,4.43,4.75,4.69,multi,1.0
752424,Embajadores,entire_home,apartment,,116,4.51,4.65,4.73,solo,
817184,Cortes,entire_home,apartment,54.0,370,4.46,4.67,4.83,professional,0.92
903707,Embajadores,entire_home,apartment,85.0,86,4.37,4.49,4.69,multi,1.0
1065918,Universidad,entire_home,apartment,198.0,558,4.2,4.51,4.68,professional,1.0
1067941,Almenara,entire_home,house,120.0,74,4.49,4.55,4.68,multi,0.67
1092467,Sol,entire_home,apartment,94.0,207,4.52,4.58,4.83,professional,0.96
1220946,Sol,entire_home,apartment,147.0,352,4.51,4.79,4.75,multi,1.0
1267730,Sol,entire_home,apartment,159.0,340,4.49,4.67,4.71,multi,1.0
1346747,Embajadores,entire_home,apartment,88.0,100,4.53,4.42,4.61,solo,1.0
1427336,Universidad,entire_home,apartment,,195,4.31,4.59,4.85,professional,1.0
1569343,Lista,entire_home,apartment,108.0,109,4.44,4.51,4.63,solo,1.0
1695083,Universidad,entire_home,apartment,199.0,327,4.3,4.49,4.62,professional,1.0
1774049,Palos de Moguer,entire_home,house,155.0,76,4.37,4.55,4.82,solo,1.0
1956372,Justicia,private_room,apartment,1286.0,220,4.5,4.51,4.8,solo,1.0
2471370,Universidad,entire_home,apartment,186.0,480,4.3,4.49,4.66,professional,1.0
2558321,Embajadores,entire_home,apartment,107.0,326,4.37,4.37,4.65,solo,0.75
2707743,Universidad,entire_home,apartment,196.0,391,4.36,4.46,4.68,professional,1.0
3046856,Universidad,entire_home,apartment,226.0,70,4.34,4.63,4.53,multi,1.0
3222550,Cortes,entire_home,apartment,,64,4.47,4.39,4.92,multi,
3264794,Guindalera,entire_home,apartment,115.0,88,4.51,4.69,4.72,multi,1.0
3338631,Chopera,private_room,apartment,88.0,72,4.44,4.25,4.74,multi,0.97
3531042,Sol,private_room,apartment,,134,4.51,4.51,4.62,solo,
3588117,Embajadores,private_room,apartment,29.0,501,4.43,4.52,4.69,multi,0.46
3681753,Sol,entire_home,apartment,224.0,217,4.38,4.41,4.76,professional,1.0
3681786,Sol,entire_home,apartment,202.0,199,4.26,4.57,4.62,professional,1.0
3763652,Universidad,entire_home,apartment,89.0,62,4.45,4.5,4.79,professional,1.0
3857504,Universidad,entire_home,apartment,196.0,357,4.28,4.39,4.66,professional,1.0
3885520,Sol,entire_home,apartment,65.0,303,4.34,4.67,4.67,multi,0.53
4075286,Embajadores,private_room,apartment,56.0,175,4.53,4.58,4.66,solo,0.9
4083002,Chopera,private_room,apartment,44.0,69,4.43,4.1,4.83,multi,0.97
4176704,Embajadores,entire_home,apartment,111.0,331,4.5,4.74,4.76,professional,0.99
4230554,Embajadores,entire_home,apartment,122.0,171,4.53,4.49,4.8,professional,1.0
4241100,Universidad,entire_home,apartment,203.0,56,4.52,4.27,4.91,solo,1.0
4596316,Embajadores,entire_home,apartment,101.0,355,4.5,4.71,4.8,professional,0.99
4655244,Cortes,entire_home,apartment,300.0,59,4.31,4.44,4.58,professional,1.0
4683787,Embajadores,entire_home,apartment,,99,4.46,4.88,4.96,solo,
5062060,Embajadores,entire_home,apartment,57.0,159,4.31,4.14,4.63,multi,0.86
5197442,Justicia,entire_home,other,,72,4.44,4.46,4.81,solo,
5264948,Embajadores,entire_home,apartment,,530,4.51,4.68,4.69,multi,
5264999,Embajadores,entire_home,apartment,,501,4.44,4.62,4.73,multi,
5544738,Universidad,entire_home,apartment,185.0,324,4.21,4.35,4.62,professional,1.0
5611639,Embajadores,entire_home,apartment,150.0,95,4.52,4.46,4.61,professional,1.0
5654704,Cortes,entire_home,apartment,65.0,358,4.47,4.71,4.78,multi,0.63
5722694,Embajadores,private_room,apartment,,109,4.41,4.56,4.57,solo,
5811071,Universidad,entire_home,apartment,184.0,267,4.28,4.48,4.66,professional,1.0
5876946,Palacio,private_room,apartment,160.0,63,4.25,4.49,4.83,professional,1.0
5962564,Universidad,entire_home,apartment,174.0,263,4.24,4.47,4.69,professional,1.0
6287069,Universidad,private_room,house,36.0,841,4.53,4.55,4.71,professional,0.99
6332990,Embajadores,entire_home,apartment,62.0,225,4.24,4.3,4.66,multi,1.0
6420159,Palacio,private_room,apartment,,98,4.3,4.51,4.56,multi,
6621738,Embajadores,entire_home,apartment,135.0,287,4.41,4.51,4.73,solo,0.94
6637689,Universidad,private_room,house,33.0,789,4.38,4.31,4.69,professional,0.99
7497713,Universidad,private_room,house,34.0,781,4.45,4.48,4.67,professional,0.99
7547992,Canillas,entire_home,apartment,,280,4.53,4.56,4.65,solo,
7689476,Universidad,private_room,house,30.0,760,4.51,4.52,4.66,professional,0.99
7701586,Embajadores,entire_home,apartment,,600,4.46,4.61,4.75,multi,
7701883,Embajadores,entire_home,apartment,,276,4.48,4.61,4.85,solo,
7786679,Embajadores,private_room,apartment,,70,4.53,4.5,4.76,multi,
7864511,Embajadores,entire_home,apartment,,210,4.5,4.44,4.75,solo,1.0
8024476,Universidad,entire_home,apartment,177.0,297,4.1,4.33,4.62,professional,1.0
8350653,Puerta del Angel,private_room,apartment,22.0,360,4.28,4.22,4.59,multi,1.0
8422607,Embajadores,entire_home,apartment,102.0,306,4.5,4.75,4.81,professional,0.99
9163023,Cortes,entire_home,apartment,165.0,59,4.44,4.34,4.8,multi,0.83
9581698,Simancas,entire_home,apartment,85.0,244,4.5,4.56,4.47,multi,1.0
9642700,Palacio,entire_home,apartment,,420,4.45,4.47,4.81,multi,
9708445,Embajadores,entire_home,apartment,,511,4.5,4.69,4.88,professional,1.0
10192147,Palos de Moguer,entire_home,apartment,70.0,195,4.52,4.45,4.87,multi,1.0
10410002,Argüelles,private_room,apartment,,106,4.51,4.8,4.74,multi,1.0
10681179,Sol,entire_home,apartment,270.0,192,4.48,4.48,4.77,professional,0.95
10789641,Trafalgar,entire_home,apartment,,133,4.37,4.59,4.69,solo,
10848457,Goya,entire_home,apartment,,339,4.45,4.38,4.8,solo,
10855140,Sol,entire_home,house,167.0,61,4.33,4.51,4.16,professional,0.98
11056834,Justicia,entire_home,apartment,146.0,296,4.51,4.49,4.87,solo,1.0
11077428,Universidad,entire_home,apartment,452.0,321,4.14,4.36,4.63,professional,1.0
11146161,Palacio,entire_home,apartment,196.0,371,4.46,4.59,4.8,multi,1.0
11291438,Sol,entire_home,apartment,133.0,438,4.42,4.61,4.76,professional,1.0
11313107,Universidad,entire_home,apartment,167.0,404,4.44,4.66,4.73,professional,1.0
11490064,Universidad,entire_home,apartment,169.0,311,4.32,4.54,4.68,professional,1.0
11490939,Universidad,entire_home,apartment,134.0,415,4.4,4.6,4.76,professional,1.0
11653281,Justicia,entire_home,apartment,54.0,285,4.38,4.33,4.69,solo,1.0
11883563,Sol,entire_home,apartment,176.0,65,4.2,4.25,4.4,multi,1.0
12187235,Palacio,entire_home,apartment,82.0,80,4.45,4.34,4.85,multi,1.0
12381883,Sol,entire_home,house,159.0,133,4.38,4.38,4.44,multi,1.0
12671158,Puerta del Angel,private_room,apartment,,60,4.53,4.37,4.67,solo,
12838356,Arapiles,entire_home,apartment,121.0,83,4.39,4.53,4.45,professional,0.86
12985524,Embajadores,entire_home,apartment,,514,4.36,4.35,4.85,solo,0.8
13323993,Universidad,entire_home,hotel,153.0,377,4.28,4.6,4.69,professional,1.0
13341044,Universidad,entire_home,hotel,154.0,367,4.33,4.63,4.76,professional,1.0
13384154,Universidad,entire_home,hotel,170.0,327,4.24,4.56,4.71,professional,1.0
13404513,Justicia,private_room,apartment,60.0,160,4.38,4.43,4.73,solo,1.0
13509563,Cortes,entire_home,apartment,325.0,350,4.44,4.59,4.77,multi,1.0
13707810,Embajadores,entire_home,apartment,74.0,328,4.5,4.45,4.83,professional,1.0
13721711,Universidad,entire_home,apartment,181.0,277,4.23,4.44,4.75,professional,1.0
13890249,Sol,entire_home,apartment,90.0,356,4.41,4.62,4.67,professional,1.0
14374562,Sol,entire_home,apartment,115.0,247,4.45,4.43,4.72,professional,0.95
14458953,Embajadores,entire_home,apartment,,230,4.5,4.69,4.79,solo,
14869725,Cuatro Caminos,entire_home,apartment,123.0,315,4.34,4.58,4.55,multi,1.0
15001584,Peñagrande,private_room,apartment,,59,4.41,4.34,4.64,solo,
15141334,Embajadores,entire_home,apartment,77.0,370,4.48,4.53,4.82,multi,1.0
15347456,Puerta del Angel,private_room,apartment,23.0,276,4.45,4.28,4.55,multi,1.0
15518354,El Viso,entire_home,apartment,107.0,78,4.53,4.6,4.62,solo,0.91
15651554,Universidad,entire_home,apartment,67.0,413,4.39,4.44,4.82,solo,0.9
15825062,Castellana,entire_home,other,138.0,170,4.38,4.49,4.64,professional,1.0
15868228,Sol,entire_home,apartment,,151,4.51,4.61,4.9,solo,
16024004,Justicia,entire_home,apartment,228.0,203,4.41,4.51,4.74,solo,1.0
16144069,Palacio,entire_home,apartment,92.0,593,4.39,4.54,4.71,professional,0.99
16144315,Sol,entire_home,apartment,76.0,550,4.35,4.57,4.65,professional,0.99
16451687,Cortes,entire_home,apartment,80.0,443,4.02,4.13,4.42,professional,1.0
16656383,Palacio,shared_room,hotel,17.0,210,4.2,4.1,4.49,professional,1.0
16763469,Palacio,shared_room,hotel,22.0,101,4.17,4.05,4.53,professional,1.0
16907268,Palacio,entire_home,apartment,109.0,367,4.45,4.68,4.77,professional,1.0
16944475,Puerta del Angel,private_room,apartment,,64,4.3,4.64,4.67,multi,
17107343,Sol,entire_home,apartment,68.0,88,4.52,4.67,4.75,professional,0.99
17197503,Sol,entire_home,apartment,208.0,263,4.49,4.63,4.83,multi,1.0
17352455,Argüelles,entire_home,apartment,,60,4.4,4.52,4.6,solo,
17599686,Puerta del Angel,private_room,apartment,,81,4.31,4.68,4.64,multi,
17735333,Embajadores,entire_home,apartment,90.0,911,4.5,4.73,4.53,multi,0.95
17743640,Pilar,entire_home,apartment,98.0,173,4.5,4.53,4.76,solo,1.0
17765425,Castillejos,entire_home,apartment,,92,4.45,4.72,4.74,multi,1.0
17797538,San Diego,entire_home,apartment,53.0,116,4.32,4.45,4.72,multi,1.0
17874233,Justicia,entire_home,apartment,78.0,265,4.45,4.65,4.83,professional,1.0
17891928,Justicia,entire_home,apartment,108.0,79,4.53,4.57,4.71,professional,1.0
18109842,Universidad,entire_home,apartment,,135,4.42,4.67,4.87,solo,
18138585,Palacio,entire_home,apartment,150.0,295,4.53,4.69,4.49,multi,1.0
18147455,Jerónimos,entire_home,apartment,148.0,141,4.53,4.65,4.82,solo,1.0
18151509,San Diego,private_room,house,17.0,63,4.52,4.63,4.7,professional,0.55
18251416,Puerta del Angel,entire_home,apartment,58.0,115,4.52,4.59,4.81,solo,1.0
18278565,Embajadores,entire_home,apartment,103.0,337,4.42,4.64,4.77,professional,1.0
18540846,Arapiles,private_room,apartment,28.0,319,4.47,4.53,4.75,solo,1.0
18816591,Puerta del Angel,entire_home,apartment,17159.0,63,4.27,4.3,4.29,professional,0.86
18922191,Palacio,private_room,apartment,,70,4.46,4.71,4.53,multi,
19109490,Palacio,entire_home,apartment,110.0,444,4.53,4.66,4.8,professional,1.0
19115291,Guindalera,entire_home,apartment,83.0,90,4.4,4.49,4.56,solo,0.93
19281881,Sol,private_room,apartment,66.0,78,4.47,4.65,4.73,professional,1.0
19342533,Quintana,entire_home,apartment,77.0,114,4.4,4.36,4.81,solo,1.0
19351077,Sol,entire_home,apartment,72.0,414,4.4,4.48,4.69,professional,1.0
19361512,Sol,entire_home,apartment,72.0,527,4.44,4.55,4.65,professional,1.0
19380403,Sol,entire_home,apartment,164.0,523,4.48,4.5,4.72,professional,1.0
