month,total_days,available_days,unique_listings,availability_rate,occupancy_rate
2025-09-01,408739,75140.0,25000,0.1838,0.8162
2025-10-01,775000,263543.0,25000,0.3401,0.6598999999999999
2025-11-01,750000,370627.0,25000,0.4942,0.5058
2025-12-01,775000,405270.0,25000,0.5229,0.47709999999999997
2026-01-01,775000,411895.0,25000,0.5315,0.4685
2026-02-01,700000,381217.0,25000,0.5446,0.4554
2026-03-01,775000,403910.0,25000,0.5212,0.4788
2026-04-01,750000,377240.0,25000,0.503,0.497
2026-05-01,775000,395402.0,25000,0.5102,0.4898
2026-06-01,750000,342774.0,25000,0.457,0.5429999999999999
2026-07-01,775000,342842.0,25000,0.4424,0.5576
2026-08-01,775000,332336.0,25000,0.4288,0.5711999999999999
2026-09-01,341268,140451.0,25000,0.4116,0.5884
