month,review_count,active_listings,reviews_per_active_listing
2010-07-01,1,1,1.0
2010-11-01,1,1,1.0
2010-12-01,1,1,1.0
2011-02-01,4,4,1.0
2011-03-01,1,1,1.0
2011-04-01,1,1,1.0
2011-05-01,10,5,2.0
2011-06-01,10,5,2.0
2011-07-01,14,4,3.5
2011-08-01,7,6,1.17
2011-09-01,18,7,2.57
2011-10-01,29,13,2.23
2011-11-01,26,11,2.36
2011-12-01,17,7,2.43
2012-01-01,26,10,2.6
2012-02-01,16,9,1.78
2012-03-01,33,11,3.0
2012-04-01,48,20,2.4
2012-05-01,70,25,2.8
2012-06-01,52,18,2.89
2012-07-01,48,21,2.29
2012-08-01,53,24,2.21
2012-09-01,74,34,2.18
2012-10-01,108,42,2.57
2012-11-01,80,36,2.22
2012-12-01,50,26,1.92
2013-01-01,59,34,1.74
2013-02-01,70,33,2.12
2013-03-01,103,47,2.19
2013-04-01,134,60,2.23
2013-05-01,189,69,2.74
2013-06-01,186,75,2.48
2013-07-01,163,71,2.3
2013-08-01,132,58,2.28
2013-09-01,235,79,2.97
2013-10-01,284,94,3.02
2013-11-01,204,93,2.19
2013-12-01,186,94,1.98
2014-01-01,243,114,2.13
2014-02-01,204,100,2.04
2014-03-01,320,118,2.71
2014-04-01,398,150,2.65
2014-05-01,411,154,2.67
2014-06-01,424,148,2.86
2014-07-01,420,146,2.88
2014-08-01,384,133,2.89
2014-09-01,670,218,3.07
2014-10-01,743,234,3.18
2014-11-01,546,196,2.79
2014-12-01,590,240,2.46
2015-01-01,519,220,2.36
2015-02-01,547,208,2.63
2015-03-01,718,253,2.84
2015-04-01,943,300,3.14
2015-05-01,1167,348,3.35
2015-06-01,1136,345,3.29
2015-07-01,1132,355,3.19
2015-08-01,1014,324,3.13
2015-09-01,1433,446,3.21
2015-10-01,1789,482,3.71
2015-11-01,1273,451,2.82
2015-12-01,1299,482,2.7
2016-01-01,1204,466,2.58
2016-02-01,1336,456,2.93
2016-03-01,1562,530,2.95
2016-04-01,1852,552,3.36
2016-05-01,2441,680,3.59
2016-06-01,2116,640,3.31
2016-07-01,2032,657,3.09
2016-08-01,1761,558,3.16
2016-09-01,2555,729,3.5
2016-10-01,3103,799,3.88
2016-11-01,2301,737,3.12
2016-12-01,2084,724,2.88
2017-01-01,2384,808,2.95
2017-02-01,2343,782,3.0
2017-03-01,2736,806,3.39
2017-04-01,3880,1057,3.67
2017-05-01,4427,1102,4.02
2017-06-01,4379,1183,3.7
2017-07-01,3640,1174,3.1
2017-08-01,2937,869,3.38
2017-09-01,4771,1292,3.69
2017-10-01,5092,1277,3.99
2017-11-01,3756,1153,3.26
2017-12-01,3815,1283,2.97
2018-01-01,3962,1286,3.08
2018-02-01,4053,1270,3.19
2018-03-01,4703,1339,3.51
2018-04-01,5929,1568,3.78
2018-05-01,6319,1611,3.92
2018-06-01,5615,1573,3.57
2018-07-01,6027,1769,3.41
2018-08-01,4604,1350,3.41
2018-09-01,6543,1770,3.7
2018-10-01,8026,1893,4.24
2018-11-01,6032,1771,3.41
2018-12-01,5813,1843,3.15
2019-01-01,5805,1890,3.07
2019-02-01,5695,1757,3.24
2019-03-01,7584,2002,3.79
2019-04-01,7919,2078,3.81
2019-05-01,8869,2195,4.04
2019-06-01,9562,2449,3.9
2019-07-01,7855,2244,3.5
2019-08-01,6310,1814,3.48
2019-09-01,9235,2444,3.78
2019-10-01,10670,2583,4.13
2019-11-01,8421,2430,3.47
2019-12-01,8076,2599,3.11
2020-01-01,7551,2461,3.07
2020-02-01,7648,2364,3.24
2020-03-01,4089,2124,1.93
2020-04-01,148,127,1.17
2020-05-01,298,201,1.48
2020-06-01,605,350,1.73
2020-07-01,1821,834,2.18
2020-08-01,1713,801,2.14
2020-09-01,1698,817,2.08
2020-10-01,1236,716,1.73
2020-11-01,1305,669,1.95
2020-12-01,1692,826,2.05
2021-01-01,1891,912,2.07
2021-02-01,2079,902,2.3
2021-03-01,2717,1105,2.46
2021-04-01,2829,1190,2.38
2021-05-01,3910,1454,2.69
2021-06-01,4345,1674,2.6
2021-07-01,6288,2057,3.06
2021-08-01,6549,2073,3.16
2021-09-01,7493,2421,3.1
2021-10-01,9128,2654,3.44
2021-11-01,9581,2762,3.47
2021-12-01,9221,2964,3.11
2022-01-01,8366,2849,2.94
2022-02-01,8447,2777,3.04
2022-03-01,11077,3130,3.54
2022-04-01,12319,3454,3.57
2022-05-01,14673,3722,3.94
2022-06-01,14216,3818,3.72
2022-07-01,13610,4096,3.32
2022-08-01,11462,3451,3.32
2022-09-01,14844,4177,3.55
2022-10-01,17249,4448,3.88
2022-11-01,14908,4256,3.5
2022-12-01,12201,4072,3.0
2023-01-01,13378,4361,3.07
2023-02-01,12856,4211,3.05
2023-03-01,15959,4605,3.47
2023-04-01,18568,5147,3.61
2023-05-01,20611,5367,3.84
2023-06-01,19770,5434,3.64
2023-07-01,18628,5570,3.34
2023-08-01,14320,4476,3.2
2023-09-01,20070,5728,3.5
2023-10-01,24008,6225,3.86
2023-11-01,19766,5799,3.41
2023-12-01,18236,5927,3.08
2024-01-01,17880,6050,2.96
2024-02-01,18419,5887,3.13
2024-03-01,23123,6593,3.51
2024-04-01,25977,7107,3.66
2024-05-01,28941,7622,3.8
2024-06-01,29632,7935,3.73
2024-07-01,26612,7944,3.35
2024-08-01,19405,6063,3.2
2024-09-01,28547,8031,3.55
2024-10-01,32246,8377,3.85
2024-11-01,27302,8081,3.38
2024-12-01,25044,8114,3.09
2025-01-01,24999,8351,2.99
2025-02-01,23848,7910,3.01
2025-03-01,30427,8904,3.42
2025-04-01,34136,9535,3.58
2025-05-01,37295,10133,3.68
2025-06-01,36929,10437,3.54
2025-07-01,31487,9924,3.17
2025-08-01,27636,8567,3.23
2025-09-01,7530,4470,1.68
