neighbourhood,listing_count,unique_hosts,listings_per_km2
Sol,1293,577,2904.05738033714
Embajadores,2624,1407,2538.7974617288987
Universidad,2170,1058,2289.2580487941523
Cortes,1057,498,1784.791039523896
Justicia,1227,616,1653.057183125932
Palacio,1859,811,1263.398723785225
Trafalgar,488,236,797.2517370848458
Palos de Moguer,408,242,633.8440793420422
Ibiza,284,159,578.3968837654311
Gaztambide,270,141,532.8535922455021
Goya,404,225,523.7360564941756
Argüelles,383,185,505.5990238576326
Arapiles,278,155,480.4252093019324
Lista,229,139,439.9335462213958
Castillejos,290,134,409.203153914351
Cuatro Caminos,478,203,400.40603612204495
Pacífico,301,167,396.52142879780894
Berruguete,232,130,382.05979352349635
Recoletos,320,155,367.37305077873697
Bellas Vistas,225,150,314.0640660316238
Almagro,260,116,277.38786800600343
Chopera,157,92,277.13636473969035
Rios Rosas,259,139,266.6050869205416
Castellana,204,113,263.7567494754736
San Diego,279,157,260.7167067282402
Guindalera,386,184,241.35538606291172
Comillas,159,101,238.64376538718417
Acacias,241,163,224.30775521190964
Prosperidad,233,131,223.2754139067372
Valdeacederas,256,130,219.98725630653504
Puerta del Angel,294,205,213.71782071257198
Adelfas,134,53,209.05995496154782
Almenara,198,107,198.07816204421286
Delicias,191,139,180.52608708336652
Imperial,172,121,177.72899747760258
Moscardó,153,95,168.31016910213964
Ciudad Jardín,125,86,163.92724841045137
Fuente del Berro,134,99,157.12718325676323
Almendrales,121,63,156.6378199083483
Opañel,171,97,154.39337696930323
Quintana,110,73,152.08092921828955
Concepción,106,69,119.61908936620546
Numancia,221,139,119.49170394906365
San Isidro,212,128,111.5858080527811
Niño Jesús,69,52,107.2323027153126
Vallehermoso,114,67,106.64452266104269
Casco Histórico de Barajas,63,40,103.38851557652815
Pueblo Nuevo,226,148,97.42657777387632
Nueva España,169,58,94.46047382592279
Vista Alegre,145,112,91.21735559664164
Hispanoamérica,147,80,86.07423978024438
Fontarrón,76,42,78.77664337637789
Canillejas,122,81,76.3434229613896
Ventas,234,175,73.15247763280662
Zofío,52,41,67.16469142618213
El Viso,111,62,64.97184315121818
Atocha,49,14,64.45555018054304
Puerta Bonita,103,66,64.012477579106
Simancas,143,101,62.807592308918345
San Pascual,62,49,58.88267805798479
Lucero,97,77,57.75678693071514
Vinateros,34,20,57.229428409478814
Canillas,144,83,57.19722800076922
Cármenes,73,55,56.48714162119325
Pinar del Rey,146,77,55.4555338048687
Castilla,119,66,55.070131452932095
Pilar,74,65,54.269842498784726
Pradolongo,58,48,52.923586688759876
Jerónimos,100,62,52.45629479555138
Portazgo,63,48,50.57886320030575
Valdezarza,70,53,50.07988302986112
Orcasur,69,25,49.834246798151746
Colina,25,17,44.65601613171202
Hellín,24,20,43.57876389725362
Amposta,16,15,43.202408233572534
Estrella,42,30,40.94379622591461
Arcos,52,40,39.832908480075716
San Juan Bautista,38,27,37.58427435155016
Los Rosales,56,37,36.78299173557115
San Fermín,52,36,35.51709730750484
Legazpi,48,34,34.35018833745876
Palomeras Bajas,59,45,34.21739909224089
Apostol Santiago,41,24,34.015089179568726
Abrantes,51,44,32.58843840686913
Rejas,161,90,32.12016442816079
Aluche,88,68,30.87081984899839
Costillares,43,18,30.11987757101343
Los Angeles,50,34,25.829790924352594
Media Legua,25,22,25.02003315857973
Orcasitas,33,20,24.322756651653595
Peñagrande,65,44,22.506219998277214
San Cristobal,21,18,19.480892859290194
Palomeras Sureste,53,42,16.983645517649375
Marroquina,29,26,16.196694745852373
Aguilas,57,45,15.787103198622269
Salvador,29,20,15.414300194732178
Alameda de Osuna,30,20,15.22258885755711
Valverde,115,81,12.806833424836341
Piovera,37,23,11.782522547392055
Aravaca,66,28,11.294944481617671
Buenavista,63,50,11.220512493216157
La Paz,24,22,11.109705097102141
Entrevías,63,44,10.501408987031345
San Andrés,91,50,9.834225491223345
Valdefuentes,150,94,8.931227529121113
Pavones,7,5,6.881515901124
Casa de Campo,107,70,6.127813751088834
Ambroz,14,12,5.94514375656952
Ciudad Universitaria,82,58,5.752705302002878
Rosas,53,41,5.650490576428631
Horcajo,4,3,5.364661401661403
El Plantío,17,7,4.821090978268254
Timón,46,37,4.79296729758314
Palomas,5,4,4.424693901434966
Butarque,28,22,4.3807481751974615
Santa Eugenia,9,7,4.321959230074452
Campamento,37,26,4.0269214125864075
Atalaya,1,1,4.017505718340182
Mirasierra,26,20,3.717052854095281
Fuentelareina,5,3,3.615294981796164
Valdemarín,10,7,3.0271981738033378
Corralejos,11,9,2.3781028677238174
Casco Histórico de Vicálvaro,71,53,2.1615944993752185
Casco Histórico de Vallecas,104,80,2.107536644258549
Cuatro Vientos,7,7,1.2897295629634957
El Goloso,15,15,0.5661701323182833
Aeropuerto,13,8,0.5176403180349642
El Pardo,3,3,0.01599050233671173
