,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_count,missing_pct
price_numeric,18953.0,156.6914,492.2554,8.0,21.0,31.0,70.0,110.0,164.0,343.0,793.36,25654.0,6047,24.2
availability_365,25000.0,169.5227,134.4553,0.0,0.0,0.0,22.0,172.0,302.0,358.0,365.0,365.0,0,0.0
number_of_reviews,25000.0,51.0397,96.1591,0.0,0.0,0.0,1.0,11.0,56.0,242.0,471.01,1184.0,0,0.0
review_scores_rating,19853.0,4.629,0.5068,1.0,2.0,4.0,4.53,4.75,4.92,5.0,5.0,5.0,5147,20.6
review_scores_cleanliness,19852.0,4.6671,0.4773,1.0,2.5,4.0,4.58,4.8,4.94,5.0,5.0,5.0,5148,20.6
review_scores_communication,19853.0,4.7281,0.4923,1.0,2.0,4.0,4.7,4.88,4.99,5.0,5.0,5.0,5147,20.6
review_scores_location,19850.0,4.7345,0.3991,1.0,3.0,4.0,4.65,4.86,4.97,5.0,5.0,5.0,5150,20.6
review_scores_value,19849.0,4.5334,0.5355,1.0,2.0,3.67,4.43,4.66,4.83,5.0,5.0,5.0,5151,20.6
host_tenure_years,24903.0,6.4444,3.7737,0.0082,0.2218,0.794,3.1882,6.4367,9.5195,12.5476,13.9874,16.3285,97,0.4
occupancy_proxy,25000.0,0.5351,0.3683,0.0,0.0,0.0192,0.1726,0.526,0.9397,1.0,1.0,1.0,0,0.0
reviews_per_month_calc,19853.0,1.4974,2.0244,0.0,0.0,0.0,0.0833,0.6667,2.25,5.5,8.5,49.3333,5147,20.6
host_portfolio_size,25000.0,44.3338,93.3346,1.0,1.0,1.0,1.0,4.0,25.0,292.0,407.0,407.0,0,0.0
host_response_rate,20115.0,0.9013,0.2236,0.0,0.0,0.32,0.94,1.0,1.0,1.0,1.0,1.0,4885,19.5
