neighbourhood_cleansed,room_type,listing_count,median_price,mean_price,ci_lower,ci_upper
Abrantes,private_room,31,40.0,48.0,39.0,58.0
Acacias,entire_home,109,104.0,123.0,104.0,142.0
Acacias,private_room,51,55.0,63.0,49.0,77.0
Adelfas,entire_home,88,116.0,129.0,118.0,141.0
Adelfas,private_room,19,43.0,81.0,28.0,134.0
Aguilas,private_room,33,40.0,54.0,34.0,74.0
Almagro,entire_home,126,155.0,184.0,163.0,205.0
Almagro,private_room,52,60.0,78.0,62.0,94.0
Almenara,entire_home,122,123.0,137.0,126.0,148.0
Almenara,private_room,35,44.0,55.0,45.0,66.0
Almendrales,entire_home,60,86.0,90.0,80.0,100.0
Almendrales,private_room,31,39.0,201.0,-126.0,528.0
Aluche,entire_home,24,86.0,99.0,83.0,114.0
Aluche,private_room,40,38.0,44.0,33.0,55.0
Apostol Santiago,private_room,27,44.0,65.0,16.0,115.0
Arapiles,entire_home,153,136.0,162.0,142.0,183.0
Arapiles,private_room,63,48.0,57.0,50.0,64.0
Aravaca,entire_home,51,89.0,110.0,86.0,134.0
Arcos,private_room,29,40.0,128.0,46.0,211.0
Argüelles,entire_home,154,154.0,249.0,122.0,377.0
Argüelles,private_room,87,50.0,86.0,64.0,109.0
Atocha,entire_home,24,148.0,163.0,129.0,197.0
Bellas Vistas,entire_home,116,110.0,125.0,112.0,138.0
Bellas Vistas,private_room,46,52.0,117.0,48.0,186.0
Berruguete,entire_home,147,96.0,119.0,101.0,136.0
Berruguete,private_room,53,49.0,86.0,46.0,126.0
Buenavista,entire_home,13,104.0,119.0,70.0,167.0
Buenavista,private_room,27,47.0,54.0,41.0,66.0
Butarque,private_room,16,46.0,45.0,38.0,52.0
Campamento,private_room,21,38.0,38.0,33.0,42.0
Canillas,entire_home,48,114.0,144.0,122.0,167.0
Canillas,private_room,63,38.0,48.0,42.0,55.0
Canillejas,entire_home,40,83.0,100.0,85.0,114.0
Canillejas,private_room,36,40.0,61.0,36.0,85.0
Casa de Campo,entire_home,37,116.0,232.0,109.0,356.0
Casa de Campo,private_room,30,18.0,38.0,28.0,48.0
Casco Histórico de Barajas,entire_home,30,103.0,123.0,102.0,144.0
Casco Histórico de Barajas,private_room,12,54.0,52.0,45.0,60.0
Casco Histórico de Vallecas,entire_home,48,90.0,103.0,89.0,116.0
Casco Histórico de Vallecas,private_room,20,35.0,42.0,33.0,52.0
Casco Histórico de Vicálvaro,entire_home,24,90.0,109.0,90.0,128.0
