,coefficient,std_err,t_stat,p_value,ci_low,ci_high,significant
Intercept,3.728256,0.08693,42.888087,0.0,3.557877,3.898636,True
C(room_type)[T.hotel_room],0.202377,0.071017,2.8497,0.004376,0.063186,0.341568,True
C(room_type)[T.private_room],-0.502595,0.011674,-43.05304,0.0,-0.525476,-0.479715,True
C(room_type)[T.shared_room],-1.179407,0.081921,-14.396837,0.0,-1.33997,-1.018844,True
C(neighbourhood_cleansed)[T.Acacias],0.201933,0.075917,2.659912,0.007816,0.053138,0.350727,True
C(neighbourhood_cleansed)[T.Adelfas],0.397955,0.090503,4.397142,1.1e-05,0.220572,0.575338,True
C(neighbourhood_cleansed)[T.Aeropuerto],0.12215,0.183854,0.664384,0.506445,-0.238198,0.482498,False
C(neighbourhood_cleansed)[T.Aguilas],-0.116181,0.107202,-1.083763,0.27847,-0.326293,0.09393,False
C(neighbourhood_cleansed)[T.Alameda de Osuna],0.143294,0.09047,1.583887,0.11322,-0.034024,0.320613,False
C(neighbourhood_cleansed)[T.Almagro],0.548754,0.079701,6.885153,0.0,0.392543,0.704965,True
C(neighbourhood_cleansed)[T.Almenara],0.268165,0.076052,3.526068,0.000422,0.119106,0.417225,True
C(neighbourhood_cleansed)[T.Almendrales],0.015075,0.099185,0.15199,0.879194,-0.179324,0.209475,False
C(neighbourhood_cleansed)[T.Aluche],-0.071223,0.081093,-0.878286,0.379789,-0.230163,0.087717,False
C(neighbourhood_cleansed)[T.Ambroz],-0.10002,0.09323,-1.07283,0.283348,-0.282747,0.082707,False
C(neighbourhood_cleansed)[T.Amposta],0.046808,0.152196,0.307549,0.758425,-0.251491,0.345107,False
C(neighbourhood_cleansed)[T.Apostol Santiago],0.04748,0.08153,0.58236,0.560324,-0.112316,0.207275,False
C(neighbourhood_cleansed)[T.Arapiles],0.389746,0.077347,5.038905,0.0,0.238148,0.541345,True
C(neighbourhood_cleansed)[T.Aravaca],0.021467,0.089463,0.23995,0.810369,-0.153878,0.196811,False
C(neighbourhood_cleansed)[T.Arcos],0.163807,0.163011,1.004883,0.314953,-0.155689,0.483302,False
C(neighbourhood_cleansed)[T.Argüelles],0.531594,0.080962,6.565968,0.0,0.372911,0.690276,True
C(neighbourhood_cleansed)[T.Atocha],0.439168,0.105193,4.174876,3e-05,0.232993,0.645342,True
C(neighbourhood_cleansed)[T.Bellas Vistas],0.192903,0.07633,2.527216,0.011497,0.043298,0.342507,True
C(neighbourhood_cleansed)[T.Berruguete],0.20289,0.077308,2.624422,0.00868,0.051368,0.354411,True
C(neighbourhood_cleansed)[T.Buenavista],0.076681,0.102882,0.745323,0.456076,-0.124965,0.278326,False
C(neighbourhood_cleansed)[T.Butarque],0.067527,0.105807,0.638203,0.523342,-0.139852,0.274905,False
C(neighbourhood_cleansed)[T.Campamento],-0.095073,0.084342,-1.127235,0.259643,-0.26038,0.070234,False
C(neighbourhood_cleansed)[T.Canillas],0.100128,0.083561,1.19826,0.230816,-0.063649,0.263905,False
C(neighbourhood_cleansed)[T.Canillejas],-0.014601,0.078828,-0.185222,0.853055,-0.1691,0.139899,False
C(neighbourhood_cleansed)[T.Casa de Campo],0.446032,0.116453,3.830135,0.000128,0.217788,0.674276,True
C(neighbourhood_cleansed)[T.Casco Histórico de Barajas],0.189273,0.080212,2.359655,0.018292,0.03206,0.346487,True
C(neighbourhood_cleansed)[T.Casco Histórico de Vallecas],-0.013999,0.079921,-0.175158,0.860956,-0.17064,0.142643,False
C(neighbourhood_cleansed)[T.Casco Histórico de Vicálvaro],-0.032945,0.083307,-0.395465,0.6925,-0.196223,0.130333,False
C(neighbourhood_cleansed)[T.Castellana],0.583946,0.080589,7.246017,0.0,0.425996,0.741897,True
C(neighbourhood_cleansed)[T.Castilla],0.351506,0.091502,3.841513,0.000122,0.172165,0.530846,True
C(neighbourhood_cleansed)[T.Castillejos],0.472716,0.091902,5.143704,0.0,0.292592,0.652841,True
C(neighbourhood_cleansed)[T.Chopera],0.14103,0.075861,1.859053,0.06302,-0.007655,0.289716,False
C(neighbourhood_cleansed)[T.Ciudad Jardín],0.198001,0.082669,2.39511,0.016615,0.035973,0.360029,True
C(neighbourhood_cleansed)[T.Ciudad Universitaria],0.043924,0.103828,0.423048,0.67226,-0.159575,0.247423,False
C(neighbourhood_cleansed)[T.Colina],0.400206,0.162767,2.458767,0.013942,0.081189,0.719224,True
C(neighbourhood_cleansed)[T.Comillas],0.039002,0.076797,0.507858,0.611553,-0.111518,0.189522,False
C(neighbourhood_cleansed)[T.Concepción],0.201044,0.093893,2.141209,0.032257,0.017018,0.38507,True
C(neighbourhood_cleansed)[T.Corralejos],-0.069002,0.148462,-0.46478,0.642089,-0.359981,0.221977,False
C(neighbourhood_cleansed)[T.Cortes],0.545593,0.072999,7.473955,0.0,0.402517,0.688668,True
C(neighbourhood_cleansed)[T.Costillares],0.151864,0.087229,1.740966,0.081689,-0.019103,0.32283,False
C(neighbourhood_cleansed)[T.Cuatro Caminos],0.384725,0.074359,5.173883,0.0,0.238984,0.530466,True
C(neighbourhood_cleansed)[T.Cuatro Vientos],-0.058016,0.084519,-0.686419,0.492449,-0.223671,0.107639,False
C(neighbourhood_cleansed)[T.Cármenes],-0.048776,0.091779,-0.531454,0.595105,-0.22866,0.131107,False
C(neighbourhood_cleansed)[T.Delicias],0.183382,0.079398,2.309639,0.020908,0.027764,0.339,True
C(neighbourhood_cleansed)[T.El Goloso],-0.038238,0.231247,-0.165356,0.868664,-0.491474,0.414998,False
C(neighbourhood_cleansed)[T.El Plantío],0.346659,0.120268,2.882387,0.003947,0.110938,0.582379,True
C(neighbourhood_cleansed)[T.El Viso],0.482626,0.096592,4.996554,1e-06,0.29331,0.671943,True
C(neighbourhood_cleansed)[T.Embajadores],0.331114,0.07141,4.636821,4e-06,0.191153,0.471074,True
C(neighbourhood_cleansed)[T.Entrevías],0.052942,0.086348,0.613122,0.539796,-0.116297,0.22218,False
C(neighbourhood_cleansed)[T.Estrella],0.410371,0.102108,4.019006,5.8e-05,0.210244,0.610498,True
C(neighbourhood_cleansed)[T.Fontarrón],-0.096002,0.113444,-0.84625,0.397413,-0.318349,0.126345,False
C(neighbourhood_cleansed)[T.Fuente del Berro],0.261977,0.07913,3.310701,0.000931,0.106884,0.417069,True
C(neighbourhood_cleansed)[T.Fuentelareina],0.627601,0.203203,3.08854,0.002011,0.22933,1.025871,True
C(neighbourhood_cleansed)[T.Gaztambide],0.335005,0.075871,4.415469,1e-05,0.186301,0.483709,True
C(neighbourhood_cleansed)[T.Goya],0.592613,0.07798,7.599541,0.0,0.439775,0.745451,True
C(neighbourhood_cleansed)[T.Guindalera],0.385778,0.078391,4.921222,1e-06,0.232135,0.539421,True
C(neighbourhood_cleansed)[T.Hellín],-0.083006,0.098596,-0.841879,0.399856,-0.276251,0.110239,False
C(neighbourhood_cleansed)[T.Hispanoamérica],0.420867,0.080342,5.238425,0.0,0.263399,0.578335,True
C(neighbourhood_cleansed)[T.Horcajo],0.062946,0.173848,0.362074,0.717297,-0.277789,0.403681,False
C(neighbourhood_cleansed)[T.Ibiza],0.310825,0.07773,3.998778,6.4e-05,0.158477,0.463174,True
C(neighbourhood_cleansed)[T.Imperial],0.250822,0.079097,3.171085,0.001519,0.095796,0.405849,True
C(neighbourhood_cleansed)[T.Jerónimos],0.578354,0.087684,6.595854,0.0,0.406496,0.750212,True
C(neighbourhood_cleansed)[T.Justicia],0.547735,0.072417,7.563633,0.0,0.405801,0.68967,True
C(neighbourhood_cleansed)[T.La Paz],0.237191,0.188477,1.258461,0.208225,-0.132217,0.606599,False
C(neighbourhood_cleansed)[T.Legazpi],0.153436,0.117324,1.307799,0.190942,-0.076515,0.383387,False
C(neighbourhood_cleansed)[T.Lista],0.436189,0.079911,5.458438,0.0,0.279566,0.592811,True
