neighbourhood_cleansed,entire_home,hotel_room,private_room,shared_room
Abrantes,23.5,0.0,76.5,0.0
Acacias,59.8,0.0,40.2,0.0
Adelfas,81.3,0.0,18.7,0.0
Aeropuerto,23.1,0.0,61.5,15.4
Aguilas,15.8,0.0,84.2,0.0
Alameda de Osuna,23.3,0.0,76.7,0.0
Almagro,70.8,0.0,29.2,0.0
Almenara,75.8,0.0,24.2,0.0
Almendrales,64.5,0.0,34.7,0.8
Aluche,33.0,0.0,67.0,0.0
Ambroz,21.4,0.0,78.6,0.0
Amposta,25.0,0.0,75.0,0.0
Apostol Santiago,26.8,0.0,73.2,0.0
Arapiles,68.0,0.0,32.0,0.0
Aravaca,81.8,0.0,18.2,0.0
Arcos,17.3,0.0,82.7,0.0
Argüelles,52.7,0.0,46.7,0.5
Atalaya,0.0,0.0,100.0,0.0
Atocha,77.6,0.0,18.4,4.1
Bellas Vistas,66.7,0.0,33.3,0.0
Berruguete,70.7,0.0,29.3,0.0
Buenavista,27.0,0.0,71.4,1.6
Butarque,21.4,0.0,78.6,0.0
Campamento,16.2,0.0,83.8,0.0
Canillas,41.7,2.1,56.2,0.0
Canillejas,45.1,1.6,53.3,0.0
Casa de Campo,51.4,0.0,48.6,0.0
Casco Histórico de Barajas,49.2,0.0,49.2,1.6
Casco Histórico de Vallecas,55.8,0.0,44.2,0.0
Casco Histórico de Vicálvaro,39.4,0.0,60.6,0.0
Castellana,84.3,0.0,15.7,0.0
Castilla,65.5,0.0,34.5,0.0
Castillejos,65.5,0.0,34.1,0.3
Chopera,60.5,0.0,39.5,0.0
Ciudad Jardín,78.4,0.8,20.8,0.0
Ciudad Universitaria,48.8,0.0,51.2,0.0
Colina,72.0,0.0,28.0,0.0
Comillas,61.6,0.0,37.7,0.6
Concepción,55.7,0.0,44.3,0.0
Corralejos,72.7,0.0,27.3,0.0
Cortes,77.9,0.4,21.8,0.0
Costillares,83.7,0.0,16.3,0.0
Cuatro Caminos,67.6,0.0,24.7,7.7
Cuatro Vientos,28.6,0.0,71.4,0.0
Cármenes,37.0,0.0,63.0,0.0
Delicias,55.5,0.0,44.5,0.0
El Goloso,80.0,0.0,20.0,0.0
El Pardo,100.0,0.0,0.0,0.0
