month,season,total_days,available_days,unique_listings,availability_rate,occupancy_rate,median_min_nights,mean_min_nights,pct_longstay
2025-09-01,Autumn,408739,75140.0,25000,0.1838,0.8162,2.0,9.92,16.76
2025-10-01,Autumn,775000,263543.0,25000,0.3401,0.6598999999999999,2.0,10.44,17.39
2025-11-01,Autumn,750000,370627.0,25000,0.4942,0.5058,3.0,10.82,17.84
2025-12-01,Winter,775000,405270.0,25000,0.5229,0.4770999999999999,3.0,11.12,18.22
2026-01-01,Winter,775000,411895.0,25000,0.5315,0.4685,3.0,11.32,18.72
2026-02-01,Winter,700000,381217.0,25000,0.5446,0.4554,3.0,11.37,19.03
2026-03-01,Spring,775000,403910.0,25000,0.5212,0.4788,3.0,11.43,19.15
2026-04-01,Spring,750000,377240.0,25000,0.503,0.497,3.0,11.41,19.17
2026-05-01,Spring,775000,395402.0,25000,0.5102,0.4898,3.0,11.45,19.18
2026-06-01,Summer,750000,342774.0,25000,0.457,0.5429999999999999,3.0,11.08,19.05
2026-07-01,Summer,775000,342842.0,25000,0.4424,0.5576,3.0,11.05,19.03
2026-08-01,Summer,775000,332336.0,25000,0.4288,0.5711999999999999,3.0,11.02,18.98
2026-09-01,Autumn,341268,140451.0,25000,0.4116,0.5884,3.0,11.06,18.92
